SDB Feature,,mean_apunim,std_apunim,n_runs
Age,1) Gen. Z,-2.1963107661062882e-17,4.3929530483172446e-17,10.0
Age,2) Millennial,-4.999832047630816e-17,6.754169181383494e-17,10.0
Age,3) Gen. X+,-4.346645661775231e-17,7.281254023679571e-17,10.0
Education,College +,-1.777282192205693e-17,3.5546632150403226e-17,10.0
Education,High school -,-1.2335811384723962e-16,1.5208609687595303e-16,9.0
Gender,Man,-2.0722780446188516e-17,4.1445758546140784e-17,10.0
Gender,Woman,0.0,0.0,10.0
Race,African Am.,1.1102230246251566e-17,7.771561172376095e-17,10.0
Race,Asian,-1.0498848167650936e-17,3.149654450295281e-17,10.0
Race,Latino,-3.172065784643304e-17,7.769942602917248e-17,7.0
Race,Other,-2.1178187981374883e-17,4.2356416082292915e-17,10.0
Race,White,-6.390552044183827e-17,9.786735756176246e-17,10.0
