SDB Feature,,apunim,pvalue,support
Age,1) 18 - 24,-0.006951340615690164,0.9933155758353689,85
Age,2) 25 - 34,-0.0033222591362124104,0.9933155758353689,2505
Age,3) 35 - 44,-0.002290461586241754,0.9933155758353689,770
Age,4) 45 - 54,0.006971340046475423,0.9933155758353689,137
Age,5) 55 - 64,0.0,0.9933155758353689,36
Education,2) High School graduate,0.0,0.9725328745476848,39
Education,"3) College, no degree",0.009020027518728178,0.9725328745476848,460
Education,4) Associate degree,3.164135620181697e-16,0.9725328745476848,59
Education,5) Bachelor's degree,0.001806732880906984,0.9725328745476848,2703
Education,6) Master's degree,-0.01093180635085911,0.9725328745476848,247
Ethnicity,Asian,0.0,0.9935142312424204,14
Ethnicity,Black,-0.027946537059538246,0.9935142312424204,160
Ethnicity,Multiracial,0.0,,6
Ethnicity,White,-0.0002832855693166036,0.9935142312424204,7869
Gender,Female,0.0003318555832573671,0.9991047738960148,4402
Gender,Male,-0.00041672359902728603,0.9991047738960148,3463
Has Been Targeted,False,9.930729531045564e-05,0.9834747628590363,7688
Has Been Targeted,True,0.003468163258522276,0.9834747628590363,1187
Is Parent,No,0.0022495235133074293,0.9303126735799438,3141
Is Parent,Yes,0.0012199361425647454,0.9303126735799438,4799
Is Transgender,No,0.0,0.9916906887003658,12103
Political Affiliation,Conservative,-0.006605203994492743,0.9841865591503878,842
Political Affiliation,Independent,0.0076697127937337874,0.9841865591503878,908
Political Affiliation,Liberal,-7.82364304925394e-05,0.9841865591503878,2417
Political Affiliation,Prefer not to say,0.0,,3
Religion Important,1) No,0.0038500456575924513,0.9879041820132977,1098
Religion Important,2) Not very,-0.017513882956001772,0.9879041820132977,90
Religion Important,3) Somewhat,0.0032290164700145506,0.9879041820132977,751
Religion Important,4) Very,-0.001536098310291948,0.9879041820132977,1621
Seen Toxicity,False,0.008187134502923934,0.9725716048556157,679
Seen Toxicity,True,0.00027272873116977373,0.9725716048556157,8628
Sexual Orientation,Bisexual,-0.0012106537530265616,0.9976107205133717,116
Sexual Orientation,Heterosexual,-0.00019307397063250882,0.9976107205133717,9634
Sexual Orientation,Homosexual,0.0,,3
Technology Impact,2) Somewhat negative,0.0,0.9540959417426305,57
Technology Impact,3) Neutral,0.04567969179966981,0.9540959417426305,78
Technology Impact,4) Somewhat positive,-0.0013795709555964924,0.9540959417426305,4067
Technology Impact,5) Very positive,0.0033168864172677228,0.9540959417426305,887
Toxicity Problem,1) Never,4.440892098500624e-16,0.9960542076503334,12
Toxicity Problem,2) Rarely,-0.0024721342759249907,0.9960542076503334,319
Toxicity Problem,3) Occasionally,-0.002095720830490241,0.9960542076503334,1796
Toxicity Problem,4) Frequently,-0.0011156370806630258,0.9960542076503334,1170
Toxicity Problem,5) Very Frequently,0.010544815465728965,0.9960542076503334,127
