,SDB Feature,Value,apunim,pvalue,support,Model,Prompt
0,Age,1) 18 - 24,0.0,,9,llama70b,default
1,Age,2) 25 - 34,,,3,llama70b,default
2,Age,3) 35 - 44,1.9032394707859828e-16,0.9096655293982665,7,llama70b,default
3,Age,4) 45 - 54,0.0,,3,llama70b,default
4,Age,5) 55 - 64,0.0,,3,llama70b,default
5,Age,6) 65 or older,1.6653345369377353e-16,,4,llama70b,default
6,Age,Prefer not to say,0.0,,6,llama70b,default
7,Age,Under 18,0.0,,10,llama70b,default
8,Education,1) No high school,0.0,,9,llama70b,default
9,Education,2) High School graduate,0.0,,6,llama70b,default
10,Education,"3) College, no degree",0.0,,3,llama70b,default
11,Education,4) Associate degree,5.329070518200753e-16,0.8743340836219966,8,llama70b,default
12,Education,5) Bachelor's degree,0.0,0.8743340836219966,12,llama70b,default
13,Education,7) Professional degree,0.0,,3,llama70b,default
14,Education,8) Doctoral degree,0.0,,3,llama70b,default
15,Education,Other,0.0,,3,llama70b,default
16,Education,Prefer not to say,0.0,,3,llama70b,default
17,Ethnicity,Asian,0.0684798445847499,0.9531631078979925,23,llama70b,default
18,Ethnicity,Black,0.0,0.9531631078979925,12,llama70b,default
19,Ethnicity,Hispanic,0.0,0.9531631078979925,18,llama70b,default
20,Ethnicity,Multiracial,0.0,,9,llama70b,default
21,Ethnicity,Other,0.0,0.9531631078979925,16,llama70b,default
22,Ethnicity,Unknown,-0.1902834008097165,0.9531631078979925,14,llama70b,default
23,Ethnicity,White,1.0408340855860843e-16,0.9531631078979925,16,llama70b,default
24,Gender,Female,-0.010207237859572936,0.9556128123566155,72,llama70b,default
25,Gender,Male,0.003134796238244503,0.9556128123566155,58,llama70b,default
26,Gender,Nonbinary,-0.025151101579255174,0.9556128123566155,51,llama70b,default
27,Gender,Unknown,0.01095197978096032,0.9556128123566155,77,llama70b,default
28,Has Been Targeted,False,0.0021571094733059165,0.9236496536500003,341,llama70b,default
29,Has Been Targeted,True,-0.056825604180274165,0.4396895188971995,340,llama70b,default
30,Is Parent,No,-0.00994200497100213,0.9034689039464434,129,llama70b,default
31,Is Parent,Prefer not to say,-0.02088273540885787,0.9034689039464434,154,llama70b,default
32,Is Parent,Yes,0.024042742653606432,0.9034689039464434,136,llama70b,default
33,Is Transgender,No,0.0200377522869176,0.7856054429664472,135,llama70b,default
34,Is Transgender,Prefer not to say,-0.025143361270401437,0.7856054429664472,136,llama70b,default
35,Is Transgender,Yes,0.015910958392470483,0.7856054429664472,142,llama70b,default
36,Political Affiliation,Conservative,2.3980817331903383e-16,0.9741979628751634,29,llama70b,default
37,Political Affiliation,Independent,2.1035804677108233e-16,0.9741979628751634,39,llama70b,default
38,Political Affiliation,Liberal,0.0,0.9741979628751634,32,llama70b,default
39,Political Affiliation,Other,0.0,0.9741979628751634,30,llama70b,default
40,Political Affiliation,Prefer not to say,1.0560658039117345e-16,0.9741979628751634,41,llama70b,default
41,Religion Important,1) No,-0.007244432519452756,0.9665302128061164,44,llama70b,default
42,Religion Important,2) Not very,-0.020568070519098616,0.9665302128061164,33,llama70b,default
43,Religion Important,3) Somewhat,1.0248212535001446e-16,0.9665302128061164,26,llama70b,default
44,Religion Important,4) Very,0.006470165348670027,0.9665302128061164,46,llama70b,default
45,Religion Important,Prefer not to say,0.01466992665036691,0.9665302128061164,42,llama70b,default
46,Seen Toxicity,False,0.02681173499125719,0.5078718066753163,345,llama70b,default
47,Seen Toxicity,True,-0.032464758650149285,0.5078718066753163,320,llama70b,default
48,Sexual Orientation,Bisexual,1.0658141036401505e-16,0.9692100671744828,25,llama70b,default
49,Sexual Orientation,Heterosexual,1.959217102279688e-16,0.9692100671744828,35,llama70b,default
50,Sexual Orientation,Homosexual,1.0408340855860843e-16,0.9692100671744828,16,llama70b,default
51,Sexual Orientation,Other,0.0,0.9692100671744828,45,llama70b,default
52,Sexual Orientation,Prefer not to say,0.0,0.9692100671744828,37,llama70b,default
53,Technology Impact,1) Very negative,0.08459869848156164,0.9789222719258857,33,llama70b,default
54,Technology Impact,2) Somewhat negative,1.0802169969325848e-16,0.9789222719258857,37,llama70b,default
55,Technology Impact,3) Neutral,2.664535259100376e-16,0.9789222719258857,26,llama70b,default
56,Technology Impact,4) Somewhat positive,-0.01674196120116903,0.9789222719258857,41,llama70b,default
57,Technology Impact,5) Very positive,-0.0384615384615385,0.9789222719258857,31,llama70b,default
58,Toxicity Problem,1) Never,-0.04906808672499046,0.9779339726070864,36,llama70b,default
59,Toxicity Problem,2) Rarely,0.0,0.9779339726070864,38,llama70b,default
60,Toxicity Problem,3) Occasionally,-0.008746355685131144,0.9779339726070864,35,llama70b,default
61,Toxicity Problem,4) Frequently,-0.00773195876288657,0.9779339726070864,39,llama70b,default
62,Toxicity Problem,5) Very Frequently,0.05017502917152865,0.9779339726070864,24,llama70b,default
63,Age,1) 18 - 24,0.0,0.9669629736927599,31,olmo32b,default
64,Age,2) 25 - 34,2.599546594244269e-16,0.9669629736927599,52,olmo32b,default
65,Age,3) 35 - 44,0.0,0.9669629736927599,25,olmo32b,default
66,Age,4) 45 - 54,-0.00530503978779844,0.9669629736927599,54,olmo32b,default
67,Age,5) 55 - 64,0.0,0.9669629736927599,49,olmo32b,default
68,Age,6) 65 or older,-0.029126213592232903,0.9669629736927599,36,olmo32b,default
69,Age,Prefer not to say,-0.015668943350742964,0.9669629736927599,58,olmo32b,default
70,Age,Under 18,0.0,0.9669629736927599,42,olmo32b,default
71,Education,1) No high school,2.220446049250314e-16,0.9435276693230452,16,olmo32b,default
72,Education,2) High School graduate,0.0,0.9435276693230452,24,olmo32b,default
73,Education,"3) College, no degree",0.0,,9,olmo32b,default
74,Education,4) Associate degree,2.498001805406602e-16,0.9435276693230452,39,olmo32b,default
75,Education,5) Bachelor's degree,2.5376526277146444e-16,0.9435276693230452,24,olmo32b,default
76,Education,6) Master's degree,,,3,olmo32b,default
77,Education,7) Professional degree,0.0,0.9435276693230452,24,olmo32b,default
78,Education,8) Doctoral degree,0.0,0.9435276693230452,33,olmo32b,default
79,Education,Other,1.0248212535001443e-16,0.9435276693230452,13,olmo32b,default
80,Education,Prefer not to say,0.0,0.9435276693230452,28,olmo32b,default
81,Ethnicity,Asian,1.0860877414811315e-16,0.9829628527455898,46,olmo32b,default
82,Ethnicity,Black,2.4671622769447924e-16,0.9829628527455898,63,olmo32b,default
83,Ethnicity,Hispanic,0.0,0.9829628527455898,70,olmo32b,default
84,Ethnicity,Multiracial,2.481674996220938e-16,0.9829628527455898,62,olmo32b,default
85,Ethnicity,Other,0.0,0.9829628527455898,40,olmo32b,default
86,Ethnicity,Unknown,2.422304781000342e-16,0.9829628527455898,66,olmo32b,default
