,SDB Feature,Value,apunim,pvalue,support,Model,Prompt
0,Age,1) Gen. X+,-0.08592321755027421,0.6666666666666667,15,llama70b,default
1,Age,2) Millennial,0.0,0.6666666666666667,10,llama70b,default
2,Age,3) Gen. Z,0.0849909584086797,0.6666666666666667,26,llama70b,default
3,Ethnicity,middleEastern,,,4,llama70b,default
4,Ethnicity,white,1.903239470785984e-16,0.9096655293982662,8,llama70b,default
5,Gender,man,0.0,,15,llama70b,default
6,Gender,nonBinary,3.074463760500434e-16,0.7595039702588,20,llama70b,default
7,Gender,woman,3.3306690738754706e-16,0.7595039702588,15,llama70b,default
8,Age,1) Gen. X+,-0.03601309567115308,0.7888907362207296,94,olmo32b,default
9,Age,2) Millennial,0.0656682027649769,0.7813909248876716,102,olmo32b,default
10,Age,3) Gen. Z,0.01789419087136945,0.7888907362207296,88,olmo32b,default
11,Ethnicity,black,0.05263157894736848,0.8674803734992507,21,olmo32b,default
12,Ethnicity,hisp,0.0,,3,olmo32b,default
13,Ethnicity,middleEastern,0.0,0.8674803734992507,22,olmo32b,default
14,Ethnicity,other,0.0,0.8674803734992507,19,olmo32b,default
15,Ethnicity,white,0.0373443983402489,0.8674803734992507,27,olmo32b,default
16,Gender,man,0.07296137339055783,0.8979416606476173,90,olmo32b,default
17,Gender,nonBinary,-0.017824663514005308,0.8979416606476173,100,olmo32b,default
18,Gender,woman,-0.022581732389618903,0.8979416606476173,102,olmo32b,default
19,Age,1) Gen. X+,0.05951307484220031,0.7385910359547232,44,qwen32b,default
20,Age,2) Millennial,-0.04776771776459543,0.9611349798787641,35,qwen32b,default
21,Age,3) Gen. Z,-0.10979228486646887,0.9611349798787641,13,qwen32b,default
22,Ethnicity,black,0.0,,6,qwen32b,default
23,Ethnicity,middleEastern,0.0,,6,qwen32b,default
24,Ethnicity,other,0.0,,6,qwen32b,default
25,Ethnicity,white,2.422304781000342e-16,0.9332946839154863,14,qwen32b,default
