n_ann,minority,delta,rep,simulation,method,stat,pvalue,detected
80,0.5,0.0,0,unidirectional,apunim,-0.02540337510516967,0.006511006543119355,1
80,0.5,0.0,0,unidirectional,Krippendorff delta-alpha,-0.0009843672014819838,0.7661691542288557,0
80,0.5,0.0,0,unidirectional,aposteriori unimodality (2024),0.0,1.0,0
80,0.5,0.0,0,unidirectional,chi-squared (Akhtar et al. 2019),3.7142807584674973,0.44605227647493484,0
80,0.5,0.0,0,unidirectional,GMM clustering (Checco/Mignemi),-0.012114510972766387,1.0,0
80,0.5,0.0,0,bidirectional,apunim,-0.010129165448974499,0.46250955323833576,0
80,0.5,0.0,0,bidirectional,Krippendorff delta-alpha,-0.0003299503703058093,0.572139303482587,0
80,0.5,0.0,0,bidirectional,aposteriori unimodality (2024),0.005714285714285714,0.39603960396039606,0
80,0.5,0.0,0,bidirectional,chi-squared (Akhtar et al. 2019),9.298878709984482,0.054047983482631026,0
80,0.5,0.0,0,bidirectional,GMM clustering (Checco/Mignemi),0.004799040191961607,0.31840796019900497,0
80,0.5,0.0,1,unidirectional,apunim,0.01222711878950042,0.218403836596091,0
80,0.5,0.0,1,unidirectional,Krippendorff delta-alpha,-0.0005385028861620844,0.6915422885572139,0
80,0.5,0.0,1,unidirectional,aposteriori unimodality (2024),0.0,1.0,0
80,0.5,0.0,1,unidirectional,chi-squared (Akhtar et al. 2019),3.0810249008016983,0.5443588289178015,0
80,0.5,0.0,1,unidirectional,GMM clustering (Checco/Mignemi),-0.002178370066632496,0.4975124378109453,0
80,0.5,0.0,1,bidirectional,apunim,0.026357659068034497,0.013535286315789296,1
80,0.5,0.0,1,bidirectional,Krippendorff delta-alpha,-0.0011525490780892045,0.8159203980099502,0
80,0.5,0.0,1,bidirectional,aposteriori unimodality (2024),0.0,1.0,0
80,0.5,0.0,1,bidirectional,chi-squared (Akhtar et al. 2019),2.0647338114934244,0.723853808838975,0
80,0.5,0.0,1,bidirectional,GMM clustering (Checco/Mignemi),0.0036514762053474906,0.35323383084577115,0
80,0.5,0.0,2,unidirectional,apunim,-0.051328862047956905,6.575602527675418e-10,1
80,0.5,0.0,2,unidirectional,Krippendorff delta-alpha,-0.0004720471906113355,0.5970149253731343,0
80,0.5,0.0,2,unidirectional,aposteriori unimodality (2024),0.0,1.0,0
80,0.5,0.0,2,unidirectional,chi-squared (Akhtar et al. 2019),10.620858385324375,0.031172296834700804,1
80,0.5,0.0,2,unidirectional,GMM clustering (Checco/Mignemi),-0.008220317297850563,0.8308457711442786,0
80,0.5,0.0,2,bidirectional,apunim,0.003405526038735814,1.0,0
80,0.5,0.0,2,bidirectional,Krippendorff delta-alpha,-0.001488967157157739,0.9104477611940298,0
80,0.5,0.0,2,bidirectional,aposteriori unimodality (2024),0.0,1.0,0
80,0.5,0.0,2,bidirectional,chi-squared (Akhtar et al. 2019),0.009924949946152822,0.999987727580929,0
80,0.5,0.0,2,bidirectional,GMM clustering (Checco/Mignemi),-0.002178370066632496,0.48756218905472637,0
80,0.5,0.0,3,unidirectional,apunim,0.016321768105940902,0.09804509282850253,0
80,0.5,0.0,3,unidirectional,Krippendorff delta-alpha,0.00026208403506416955,0.4626865671641791,0
80,0.5,0.0,3,unidirectional,aposteriori unimodality (2024),0.0,1.0,0
80,0.5,0.0,3,unidirectional,chi-squared (Akhtar et al. 2019),3.4695749238678952,0.4825195989105857,0
80,0.5,0.0,3,unidirectional,GMM clustering (Checco/Mignemi),-0.002872439738607984,0.5920398009950248,0
80,0.5,0.0,3,bidirectional,apunim,-0.022441546076472852,0.04312143634998566,1
80,0.5,0.0,3,bidirectional,Krippendorff delta-alpha,-0.0005085706064301698,0.6616915422885572,0
80,0.5,0.0,3,bidirectional,aposteriori unimodality (2024),0.006211180124223602,0.37623762376237624,0
80,0.5,0.0,3,bidirectional,chi-squared (Akhtar et al. 2019),1.2221847867655224,0.8744327056719972,0
80,0.5,0.0,3,bidirectional,GMM clustering (Checco/Mignemi),-0.010158953980258942,0.8507462686567164,0
80,0.5,0.0,4,unidirectional,apunim,0.012374388823457417,0.6594028644829729,0
80,0.5,0.0,4,unidirectional,Krippendorff delta-alpha,-0.0025363652790005298,0.9900497512437811,0
80,0.5,0.0,4,unidirectional,aposteriori unimodality (2024),0.0,1.0,0
80,0.5,0.0,4,unidirectional,chi-squared (Akhtar et al. 2019),4.275900603649008,0.3699525646648729,0
80,0.5,0.0,4,unidirectional,GMM clustering (Checco/Mignemi),0.030210031648604585,0.07462686567164178,0
80,0.5,0.0,4,bidirectional,apunim,0.00991856849188852,0.517121244280437,0
80,0.5,0.0,4,bidirectional,Krippendorff delta-alpha,0.0019646796449198645,0.06965174129353234,0
80,0.5,0.0,4,bidirectional,aposteriori unimodality (2024),0.0,1.0,0
80,0.5,0.0,4,bidirectional,chi-squared (Akhtar et al. 2019),2.625850045065521,0.6222507978779841,0
80,0.5,0.0,4,bidirectional,GMM clustering (Checco/Mignemi),-0.0021048435319912296,0.5223880597014925,0
80,0.5,0.0,5,unidirectional,apunim,-0.02292295760155216,0.051690043237502904,0
80,0.5,0.0,5,unidirectional,Krippendorff delta-alpha,-0.0007708819361560981,0.7761194029850746,0
80,0.5,0.0,5,unidirectional,aposteriori unimodality (2024),0.006060606060606061,0.39603960396039606,0
80,0.5,0.0,5,unidirectional,chi-squared (Akhtar et al. 2019),1.9062602906709523,0.7529948752483,0
80,0.5,0.0,5,unidirectional,GMM clustering (Checco/Mignemi),0.010475397232188622,0.21393034825870647,0
80,0.5,0.0,5,bidirectional,apunim,0.017856909373194917,0.1261952985103664,0
80,0.5,0.0,5,bidirectional,Krippendorff delta-alpha,0.0013178507680225438,0.10945273631840796,0
80,0.5,0.0,5,bidirectional,aposteriori unimodality (2024),0.012658227848101266,0.15841584158415842,0
80,0.5,0.0,5,bidirectional,chi-squared (Akhtar et al. 2019),5.623940109259488,0.22904794639893716,0
80,0.5,0.0,5,bidirectional,GMM clustering (Checco/Mignemi),0.009999679497452004,0.23880597014925373,0
80,0.5,0.0,6,unidirectional,apunim,0.01098932327867045,0.7347969195033919,0
80,0.5,0.0,6,unidirectional,Krippendorff delta-alpha,0.002124527071792115,0.024875621890547265,1
80,0.5,0.0,6,unidirectional,aposteriori unimodality (2024),0.005988023952095809,0.5742574257425742,0
80,0.5,0.0,6,unidirectional,chi-squared (Akhtar et al. 2019),1.4090230766653915,0.8426252556393562,0
80,0.5,0.0,6,unidirectional,GMM clustering (Checco/Mignemi),-0.011790242613076596,1.0,0
80,0.5,0.0,6,bidirectional,apunim,0.0247581693992754,0.024848265084995026,1
80,0.5,0.0,6,bidirectional,Krippendorff delta-alpha,0.0007459014417290355,0.24875621890547264,0
80,0.5,0.0,6,bidirectional,aposteriori unimodality (2024),0.0,1.0,0
80,0.5,0.0,6,bidirectional,chi-squared (Akhtar et al. 2019),4.841243850121662,0.3039781238801062,0
80,0.5,0.0,6,bidirectional,GMM clustering (Checco/Mignemi),-0.01282051282051282,1.0,0
80,0.5,0.0,7,unidirectional,apunim,-0.003774981478164509,1.0,0
80,0.5,0.0,7,unidirectional,Krippendorff delta-alpha,0.0020028654820601344,0.05970149253731343,0
80,0.5,0.0,7,unidirectional,aposteriori unimodality (2024),0.006060606060606061,0.40594059405940597,0
80,0.5,0.0,7,unidirectional,chi-squared (Akhtar et al. 2019),2.705847029921469,0.6081918457141247,0
80,0.5,0.0,7,unidirectional,GMM clustering (Checco/Mignemi),-0.011530977490571024,1.0,0
80,0.5,0.0,7,bidirectional,apunim,0.016974550912794376,0.08760753893135619,0
80,0.5,0.0,7,bidirectional,Krippendorff delta-alpha,0.00018170569364850397,0.44776119402985076,0
80,0.5,0.0,7,bidirectional,aposteriori unimodality (2024),0.0,1.0,0
80,0.5,0.0,7,bidirectional,chi-squared (Akhtar et al. 2019),2.1917994102322584,0.7005309086965108,0
80,0.5,0.0,7,bidirectional,GMM clustering (Checco/Mignemi),-0.011530977490571024,1.0,0
80,0.5,0.0,8,unidirectional,apunim,0.008116940193601973,1.0,0
80,0.5,0.0,8,unidirectional,Krippendorff delta-alpha,0.002312338199341901,0.03980099502487562,1
80,0.5,0.0,8,unidirectional,aposteriori unimodality (2024),0.005747126436781609,0.504950495049505,0
80,0.5,0.0,8,unidirectional,chi-squared (Akhtar et al. 2019),1.5952041966766042,0.8096538331452356,0
80,0.5,0.0,8,unidirectional,GMM clustering (Checco/Mignemi),-0.00862337413466836,1.0,0
80,0.5,0.0,8,bidirectional,apunim,0.002839480412825077,1.0,0
80,0.5,0.0,8,bidirectional,Krippendorff delta-alpha,6.900346355515063e-05,0.5124378109452736,0
80,0.5,0.0,8,bidirectional,aposteriori unimodality (2024),0.00625,0.5247524752475248,0
80,0.5,0.0,8,bidirectional,chi-squared (Akhtar et al. 2019),9.32291725958545,0.05351586845975798,0
80,0.5,0.0,8,bidirectional,GMM clustering (Checco/Mignemi),0.018833929901266006,0.15920398009950248,0
