Dataset,Model,PC Dimension,F,p_raw,n_prompts_compared,n_total_obs,cohens_d_stereotype_vs_default,cohens_d_persona_vs_default,cohens_d_single_vs_default,cohens_d_direct_vs_default,p_corrected,reject_null
Kumar et al. 2021,llama70b,Age: 1) 18 - 24,2.6598700135532245,0.03114685555393711,5,2753,0.036270812497893976,0.012805168208585137,0.15194565186623285,-0.02059852467982891,0.7475245332944906,False
Kumar et al. 2021,llama70b,Age: 2) 25 - 34,3.2253005238085053,0.011902146691314692,5,2697,0.080330598687476,0.03673976332238883,0.14263212873889286,-0.06556423654166145,0.5355966011091612,False
Kumar et al. 2021,llama70b,Age: 3) 35 - 44,8.073092835779432,1.8120808667183325e-06,5,2745,0.033380532132990845,-0.024945462697597426,0.21435468018297263,-0.09963607655816618,0.0004004698715447515,True
Kumar et al. 2021,llama70b,Age: 4) 45 - 54,4.211685601443835,0.0021126771380473638,5,2736,0.08153235123224917,0.030159284561830108,0.1855015104228413,-0.03793236125206096,0.19436629670035746,False
Kumar et al. 2021,llama70b,Age: 5) 55 - 64,2.8211780356665686,0.023735851224407065,5,2737,0.011372376399514278,-0.05621255710274878,0.1135590293414308,-0.062214144304103984,0.6766426441699741,False
Kumar et al. 2021,llama70b,Age: 6) 65 or older,8.870149414982697,4.0698377690002777e-07,5,2936,-0.0050470668313975595,-0.05714050208392153,0.19271723404232316,-0.11932608526066232,0.00010133896044810692,True
Kumar et al. 2021,llama70b,Age: Prefer not to say,5.173699544965116,0.00037601509618922504,5,2702,-0.014328094516867734,-0.055920725318743605,0.11982810489830192,-0.15160073164161125,0.051890083274113055,False
Kumar et al. 2021,llama70b,Age: Under 18,5.696390685126722,0.00014540805202397682,5,2731,0.06865954364756413,-0.03635030813141987,0.13679005180434642,-0.14251536158272007,0.022300731442562845,True
Kumar et al. 2021,llama70b,Education: 1) No high school,4.603936646385656,0.0010521258392579172,5,2447,0.0010984653638769937,0.08149408029202178,0.18078724874415147,-0.07051879210701398,0.1167859681576288,False
Kumar et al. 2021,llama70b,Education: 2) High School graduate,6.35064389216796,4.433081127398454e-05,5,2285,0.09683377559143905,-0.026634343789207003,0.19640602238436294,-0.10683823887332827,0.007624899539125341,True
Kumar et al. 2021,llama70b,"Education: 3) College, no degree",4.109377171607257,0.0025447701334262046,5,2216,0.06710411784959472,-0.027593367361684374,0.09166319419320777,-0.1716646476074453,0.2213950016080798,False
Kumar et al. 2021,llama70b,Education: 4) Associate degree,5.791993219853036,0.00012301228801578573,5,2324,0.06445344247259877,0.029281757011337405,0.2250139526427295,-0.06257735691199788,0.019189916930462576,True
Kumar et al. 2021,llama70b,Education: 5) Bachelor's degree,3.98120486311275,0.0031874672447157713,5,2357,0.11003118951882848,-0.03466760379543161,0.09717174607439212,-0.11736110701977971,0.2667377075253879,False
Kumar et al. 2021,llama70b,Education: 6) Master's degree,3.0707271468463486,0.015546007449039313,5,2340,-0.0587089162993199,0.002386108551202946,0.0840716009451332,-0.14352867050424767,0.6218402979615725,False
Kumar et al. 2021,llama70b,Education: 7) Professional degree,5.520445555186067,0.0002014508016112379,5,2375,-0.008794670745535756,-0.019206398419734684,0.20623476240044364,-0.03763410457900826,0.029613267836851972,True
Kumar et al. 2021,llama70b,Education: 8) Doctoral degree,6.258119462274127,5.247929890283839e-05,5,2319,0.04176200853946235,-0.05051364532785155,0.18115398851143116,-0.13153254695023786,0.008711563617871173,True
Kumar et al. 2021,llama70b,Education: Other,5.29197012791485,0.0003049415871771819,5,2371,-0.029486885399681504,-0.10163307759906677,0.12474981757102112,-0.13898405908608313,0.042932160917055984,True
