Dataset,Model,PC Dimension,F,p_raw,n_prompts_compared,n_total_obs,p_corrected,reject_null
Kumar et al. 2021,llama70b,Age: 1) 18 - 24,2.659870013553225,0.03114685555394755,5,2753,1.0,False
Kumar et al. 2021,llama70b,Age: 2) 25 - 34,3.225300523808507,0.011902146691324483,5,2697,0.7498352415534424,False
Kumar et al. 2021,llama70b,Age: 3) 35 - 44,8.073092835779427,1.812080866718865e-06,5,2745,0.0004004698715448692,True
Kumar et al. 2021,llama70b,Age: 4) 45 - 54,4.21168560144384,0.002112677138046885,5,2736,0.19859165097640719,False
Kumar et al. 2021,llama70b,Age: 5) 55 - 64,2.8211780356665663,0.023735851224411925,5,2737,1.0,False
Kumar et al. 2021,llama70b,Age: 6) 65 or older,8.870149414982693,4.069837769004275e-07,5,2936,0.00010133896044820645,True
Kumar et al. 2021,llama70b,Age: Prefer not to say,5.173699544965122,0.0003760150961886379,5,2702,0.05189008327403203,False
Kumar et al. 2021,llama70b,Age: Under 18,5.696390685126718,0.00014540805202373902,5,2731,0.022300731442589594,True
Kumar et al. 2021,llama70b,Education: 1) No high school,4.603936646385644,0.0010521258392585417,5,2447,0.11889021983621521,False
Kumar et al. 2021,llama70b,Education: 2) High School graduate,6.350643892167959,4.433081127398774e-05,5,2285,0.007624899539125891,True
Kumar et al. 2021,llama70b,"Education: 3) College, no degree",4.109377171607262,0.00254477013342658,5,2216,0.2315740821418188,False
Kumar et al. 2021,llama70b,Education: 4) Associate degree,5.791993219853024,0.0001230122880159109,5,2324,0.019189916930482102,True
Kumar et al. 2021,llama70b,Education: 5) Bachelor's degree,3.981204863112762,0.0031874672447163373,5,2357,0.28579040091997654,False
Kumar et al. 2021,llama70b,Education: 6) Master's degree,3.0707271468463517,0.015546007449037126,5,2340,0.9016684320441533,False
Kumar et al. 2021,llama70b,Education: 7) Professional degree,5.520445555186073,0.0002014508016111968,5,2375,0.029613267836845928,True
Kumar et al. 2021,llama70b,Education: 8) Doctoral degree,6.258119462274121,5.2479298902850825e-05,5,2319,0.008711563617873237,True
Kumar et al. 2021,llama70b,Education: Other,5.291970127914846,0.00030494158717725905,5,2371,0.04293216091713751,True
Kumar et al. 2021,llama70b,Education: Prefer not to say,7.409240840294745,6.259548306689741e-06,5,2512,0.0012644287579513277,True
Kumar et al. 2021,llama70b,Ethnicity: Asian,5.5664049524352555,0.00018352245211255866,5,3059,0.027161322912658683,True
Kumar et al. 2021,llama70b,Ethnicity: Black,3.7751290160909536,0.004565275403584151,5,2902,0.3652220322867321,False
Kumar et al. 2021,llama70b,Ethnicity: Hispanic,6.690799469128413,2.334078727613464e-05,5,3049,0.004179117917864912,True
Kumar et al. 2021,llama70b,Ethnicity: Multiracial,4.651174181068652,0.0009616776209267699,5,3005,0.11059292640657854,False
Kumar et al. 2021,llama70b,Ethnicity: Other,6.247583048391533,5.275488877505879e-05,5,3082,0.008711563617873237,True
Kumar et al. 2021,llama70b,Ethnicity: Unknown,4.881506042895219,0.0006355141565306478,5,2997,0.07991469990988145,False
Kumar et al. 2021,llama70b,Ethnicity: White,4.57381255657857,0.0011043892838949892,5,3057,0.12324378066665635,False
Kumar et al. 2021,llama70b,Gender: Female,7.4292019731577374,5.852244204587495e-06,5,4177,0.0011938578177358489,True
Kumar et al. 2021,llama70b,Gender: Male,6.727376616013006,2.1537437099255977e-05,5,4090,0.003919813552064588,True
Kumar et al. 2021,llama70b,Gender: Nonbinary,6.843600197568525,1.7384420643285786e-05,5,4003,0.0032161178190078703,True
Kumar et al. 2021,llama70b,Gender: Unknown,7.000111974679002,1.299390997612667e-05,5,4116,0.0024168672555595606,True
Kumar et al. 2021,llama70b,Has Been Targeted: False,8.810822921056197,4.379714963869418e-07,5,4912,0.0001068650451184138,True
Kumar et al. 2021,llama70b,Has Been Targeted: True,8.84358052313362,4.119652740443158e-07,5,4882,0.00010175542268894601,True
Kumar et al. 2021,llama70b,Is Parent: No,7.833871800189611,2.742852208799239e-06,5,4507,0.0005869703726830371,True
Kumar et al. 2021,llama70b,Is Parent: Prefer not to say,8.82322469319181,4.2972933526666767e-07,5,4562,0.00010571341647560025,True
Kumar et al. 2021,llama70b,Is Parent: Yes,8.766742806709075,4.783185419884497e-07,5,4483,0.00011575308716120484,True
Kumar et al. 2021,llama70b,Is Transgender: No,8.75986833354234,4.842723357528099e-07,5,4523,0.00011622536058067439,True
Kumar et al. 2021,llama70b,Is Transgender: Prefer not to say,7.59375302401237,4.29452614193705e-06,5,4467,0.0008932614375229064,True
Kumar et al. 2021,llama70b,Is Transgender: Yes,7.963618459280102,2.1523744339557075e-06,5,4514,0.00046921762660234425,True
Kumar et al. 2021,llama70b,Political Affiliation: Conservative,3.2223881765627573,0.011923468021566592,5,3785,0.7498352415534424,False
Kumar et al. 2021,llama70b,Political Affiliation: Independent,7.357285547333238,6.724839043203855e-06,5,3743,0.0013382429695975673,True
Kumar et al. 2021,llama70b,Political Affiliation: Liberal,7.612965628468231,4.1881621058624295e-06,5,3609,0.0008753258801252478,True
