SDB Feature,,apunim,pvalue,support
Age,1) Gen. X+,0.11555131000884773,3.063707149860594e-27,9703
Age,2) Millennial,0.09341933032410422,5.728221543747491e-19,11268
Age,3) Gen. Z,0.09041687754811889,3.778007162037052e-17,17528
Education,College +,0.10688641131187264,7.948151867979999e-22,23475
Education,High school -,0.08360037340010475,1.2503462069691534e-15,12833
Education,Other,0.09861196874916096,5.706073524307713e-28,2191
Gender,Man,0.07999781957733769,7.571073765494548e-14,19093
Gender,Woman,0.1154088926629312,7.072674954738646e-25,19406
Race,African Am.,0.06102832199623398,5.12382038077452e-10,9077
Race,Asian,0.15940642789452708,6.532198422374039e-45,8138
Race,Latino,0.09766883049453383,1.5097248405295118e-22,6886
Race,Multiracial,0.10667121458065014,8.176279588787294e-27,5008
Race,White,0.08144541923345233,1.3431125798141136e-15,9390
