SDB Feature,,apunim,pvalue,support
Age,1) Gen. X+,-0.0462750301128393,7.824119558718816e-15,14384
Age,2) Millennial,-0.004408743491397136,0.5028030345845852,38436
Age,3) Gen. Z,0.06326059163488718,2.7242152599652e-25,13741
Education,College +,0.009366061987367934,0.15858720417513203,59142
Education,High school -,-0.07523512845555921,6.559338065149246e-42,7419
Gender,Man,0.02748967700331762,3.60492380976589e-05,32494
Gender,Woman,-0.024519734263108814,0.00015783965530034624,33471
Race,African Am.,0.09106610482002744,1.4065769897848997e-64,5810
Race,Asian,0.010707787877320888,0.07790100377097907,18428
Race,Latino,-0.13305266752024464,8.81878192508101e-112,6610
Race,Other,0.07488506428540552,1.3271584331034598e-30,24321
Race,White,-0.11971650961478188,7.084393173009737e-81,11392
