SDB Feature,,mean_apunim,std_apunim,n_runs
Age,1) Gen. Z,-2.093563417864581e-17,4.187126835729163e-17,10.0
Age,2) Millennial,-4.539927085797878e-17,7.833949573851103e-17,10.0
Age,3) Gen. X+,-5.217528204953867e-17,8.491868459495525e-17,10.0
Education,College +,-9.420074148334659e-18,2.8260222445003976e-17,10.0
Education,High school -,-4.278195821159243e-17,7.028273268437427e-17,10.0
Education,Other,0.0,0.0,2.0
Gender,Man,-2.0958113384993677e-17,4.191625690834757e-17,10.0
Gender,Woman,-2.0578546695732385e-17,4.1185257498400283e-17,10.0
Race,African Am.,0.0,0.0,10.0
Race,Asian,-6.373669023961425e-17,9.743767323560073e-17,10.0
Race,Latino,-1.2335811384723961e-17,3.489094352630611e-17,9.0
Race,Multiracial,0.0,0.0,4.0
Race,White,-3.9650822308041306e-17,8.837776044802679e-17,10.0
