SDB Feature,,apunim,pvalue,support
Age,1) 18 - 24,0.0,0.9865787698370398,15
Age,2) 25 - 34,-0.005122874749424637,0.9865787698370398,841
Age,3) 35 - 44,-0.0019752573032538285,0.9865787698370398,236
Age,4) 45 - 54,0.0,0.9865787698370398,36
Education,2) High School graduate,0.0,0.9659419391079693,9
Education,"3) College, no degree",0.0,0.9659419391079693,134
Education,4) Associate degree,0.0,0.9659419391079693,24
Education,5) Bachelor's degree,0.0,0.9659419391079693,815
Education,6) Master's degree,0.0,0.9659419391079693,60
Ethnicity,Black,7.105427357601002e-16,0.9838254600074314,49
Ethnicity,White,0.0,0.9838254600074314,2632
Gender,Female,-0.0010247335972626995,0.9970750174419287,1366
Gender,Male,-0.00010490702614779219,0.9970750174419287,1154
Has Been Targeted,False,0.0004976112899736626,0.9644290341370518,2588
Has Been Targeted,True,-0.011748445058742537,0.9644290341370518,356
Is Parent,No,0.0,0.9742938764622,1076
Is Parent,Yes,0.0,0.9742938764622,1516
Is Transgender,No,0.0,0.9865517876955573,4035
Political Affiliation,Conservative,-0.009616764748098,0.9559256532489031,330
Political Affiliation,Independent,0.0,0.9559256532489031,268
Political Affiliation,Liberal,0.0010498590978579396,0.9559256532489031,802
Religion Important,1) No,0.009770922518872174,0.9526423161619012,446
Religion Important,2) Not very,0.0,0.9526423161619012,22
Religion Important,3) Somewhat,0.007556675062972333,0.9526423161619012,254
Religion Important,4) Very,-0.00033489618218322754,0.9526423161619012,514
Seen Toxicity,False,0.0,0.9822335353971463,278
Seen Toxicity,True,2.5153632802211727e-16,0.9822335353971463,2801
Sexual Orientation,Bisexual,-0.08987485779294638,0.9701632881814239,51
Sexual Orientation,Heterosexual,0.00034538529050043136,0.9701632881814239,3232
Technology Impact,2) Somewhat negative,0.0,0.9514544503155122,18
Technology Impact,3) Neutral,0.0,0.9514544503155122,27
Technology Impact,4) Somewhat positive,0.0009288619839214547,0.9514544503155122,1353
Technology Impact,5) Very positive,0.011647254575707177,0.9514544503155122,277
Toxicity Problem,1) Never,0.0,0.9513706347474769,15
Toxicity Problem,2) Rarely,0.0,0.9513706347474769,76
Toxicity Problem,3) Occasionally,0.0003439578078420473,0.9513706347474769,537
Toxicity Problem,4) Frequently,0.005930019559750057,0.9513706347474769,450
Toxicity Problem,5) Very Frequently,-0.0083300277667591,0.9513706347474769,32
