SDB Feature,,apunim,pvalue,support
Age,1) 18 - 24,-0.01671583087512316,0.9886698017457368,89
Age,2) 25 - 34,-0.0002536031507899786,0.9886698017457368,2474
Age,3) 35 - 44,-0.011051233989378255,0.9886698017457368,775
Age,4) 45 - 54,0.032565528196982066,0.9886698017457368,171
Age,5) 55 - 64,0.0,0.9886698017457368,27
Education,2) High School graduate,0.0,0.9902488625555477,43
Education,"3) College, no degree",0.014434052581191265,0.9902488625555477,403
Education,4) Associate degree,0.0,0.9902488625555477,100
Education,5) Bachelor's degree,-0.00028871694190998643,0.9902488625555477,2664
Education,6) Master's degree,-0.005891016200294408,0.9902488625555477,233
Ethnicity,Asian,0.0,,10
Ethnicity,Black,-0.023569023569023302,0.9973012144898259,150
Ethnicity,Multiracial,0.0,,3
Ethnicity,White,-0.00022271736582710875,0.9973012144898259,7848
Gender,Female,0.00042997022781907855,0.9663836142397852,4585
Gender,Male,-0.003808774231977928,0.9663836142397852,3258
Has Been Targeted,False,0.0002755398352874053,0.9729854894299446,7671
Has Been Targeted,True,-0.014899802720381931,0.9729854894299446,1180
Is Parent,No,0.0022074329496130345,0.9837953587909769,3215
Is Parent,Yes,3.4574514061898936e-05,0.9837953587909769,4744
Is Transgender,No,2.272071545867092e-16,0.9915005198613038,12043
Political Affiliation,Conservative,0.0028781351114605834,0.9913028665069519,835
Political Affiliation,Independent,-0.0009554116169022829,0.9913028665069519,947
Political Affiliation,Liberal,0.005845056954980245,0.9913028665069519,2411
Political Affiliation,Other,0.0,,6
Religion Important,1) No,0.004225270590959418,0.9644677309481147,1189
Religion Important,2) Not very,-0.005657466140922571,0.9644677309481147,77
Religion Important,3) Somewhat,0.0015453531816672463,0.9644677309481147,769
Religion Important,4) Very,-0.0028118859177708316,0.9644677309481147,1504
Seen Toxicity,False,0.002173388070514368,0.9824483875815078,764
Seen Toxicity,True,0.00011962433711157853,0.9824483875815078,8554
Sexual Orientation,Bisexual,-0.029484029484029384,0.9872757461887912,131
Sexual Orientation,Heterosexual,-0.00034325154221989093,0.9872757461887912,9616
Technology Impact,2) Somewhat negative,0.0,0.9517826496273731,68
Technology Impact,3) Neutral,0.0367224581563827,0.9517826496273731,109
Technology Impact,4) Somewhat positive,0.0007754280326335922,0.9517826496273731,4046
Technology Impact,5) Very positive,-0.004401220983885893,0.9517826496273731,854
Toxicity Problem,1) Never,0.0,0.9658910088646333,13
Toxicity Problem,2) Rarely,0.0,0.9658910088646333,265
Toxicity Problem,3) Occasionally,-0.00412618017514386,0.9658910088646333,1752
Toxicity Problem,4) Frequently,0.0003366517578032219,0.9658910088646333,1179
Toxicity Problem,5) Very Frequently,-0.0024265300620112448,0.9658910088646333,121
