SDB Feature,,apunim,pvalue,support
Age,1) Gen. X+,0.016690809280309575,0.7567448069407599,11505
Age,2) Millennial,0.008659202993514897,0.7567448069407599,4485
Age,3) Gen. Z,-0.0647218108318373,0.07073921680639741,3315
Education,bachelor's degree,-0.06492403792556128,0.04167954227193437,2145
Education,doctoral degree,-0.01071323264423566,0.6663626116486988,780
Education,master's degree,-0.015521529341244698,0.6663626116486988,1755
Education,no formal education,-0.059618071727992134,0.04167954227193437,390
Education,primary education,0.027475386357714616,0.6663626116486988,2730
Education,secondary education,0.019687560727361404,0.6663626116486988,8775
Education,vocational training,0.000685288178077353,0.9584600049663644,2730
Gender,female,0.009511839639117139,0.7707777027062844,8775
Gender,male,-0.014350713348470507,0.7707777027062844,9945
Gender,non-binary,0.02976329974220735,0.20485406184004054,585
Politics,apolitical,-0.03814292972847737,0.7321741557394299,3315
Politics,centrist,-0.010046169275281033,0.8593166031871101,6240
Politics,left-wing,-0.02050793584023881,0.8593166031871101,5850
Politics,right-wing,0.004397430427729776,0.8593166031871101,3900
Sexual Orientation,asexual,0.003092715667565647,0.9626995703901294,780
Sexual Orientation,bisexual,-0.03380616486043574,0.19261463007047205,1365
Sexual Orientation,heterosexual,-0.0036769597526479184,0.9626995703901294,15990
Sexual Orientation,homosexual,0.03194014666610135,0.19261463007047205,1170
