SDB Feature,,apunim,pvalue,support
Age,1) 18 - 24,0.016144900888695083,0.9599174193696596,924
Age,2) 25 - 34,-0.0004534011207825301,0.9599174193696596,25225
Age,3) 35 - 44,0.0006981714927604331,0.9599174193696596,7539
Age,4) 45 - 54,-0.0030486447995020575,0.9599174193696596,1346
Age,5) 55 - 64,-0.0011333585190779131,0.9599174193696596,268
Age,6) 65 or older,-0.9480519480519478,,4
Education,3) Master's degree,0.0002702896889615355,0.9701405195891595,2368
Education,4) Bachelor's degree,0.0002934227721014032,0.9701405195891595,26995
Education,5) Associate degree,-0.008876088457716624,0.9701405195891595,829
Education,"6) College, no degree",-0.005902735456460952,0.9701405195891595,4108
Education,7) High School graduate,-0.014110818294025251,0.9701405195891595,443
Ethnicity,Asian,-0.006643849406080604,0.9789987430290413,96
Ethnicity,Black,0.01162404516771805,0.9789987430290413,1253
Ethnicity,Hispanic,0.09909909909909917,0.9789987430290413,30
Ethnicity,Multiracial,0.0,0.9789987430290413,9
Ethnicity,Other,0.3055555555555556,,3
Ethnicity,White,-0.00012558992287112886,0.9789987430290413,77907
Gender,Female,-0.0005268195129115473,0.9304246590657094,42807
Gender,Male,0.0013242941751566506,0.9304246590657094,35331
Has Been Targeted,False,-1.4430074602496394e-05,0.9993900832665972,76693
Has Been Targeted,True,0.0020038984494916675,0.9993900832665972,11727
Is Parent,No,-0.0007542500739469955,0.9837278224247848,32045
Is Parent,Prefer not to say,-3.885780586188048e-16,0.9837278224247848,21
Is Parent,Yes,-0.00014752863627447076,0.9837278224247848,47404
Is Transgender,No,-2.2362395944763964e-16,0.997413907843141,120598
Political Affiliation,Conservative,0.0023892785558824645,0.9605861844834888,9024
Political Affiliation,Independent,-0.002367386188508331,0.9605861844834888,9213
Political Affiliation,Liberal,-0.0006977530374505624,0.9605861844834888,23670
Political Affiliation,Other,0.0,0.9605861844834888,24
Political Affiliation,Prefer not to say,-0.02197240674501778,0.9605861844834888,49
Religion Important,1) No,-0.001398100991131085,0.9105973407044398,11702
Religion Important,2) Not very,-0.0056730273336772314,0.9105973407044398,822
Religion Important,3) Somewhat,0.0022042631010101973,0.9105973407044398,7439
Religion Important,4) Very,0.0016465951887242572,0.9105973407044398,15756
Seen Toxicity,False,0.0007493799634819883,0.9500164348172109,6886
Seen Toxicity,True,-0.0004779185079180766,0.9500164348172109,85906
Sexual Orientation,Bisexual,0.01297346632766171,0.9973827721344388,1324
Sexual Orientation,Heterosexual,-1.8657637668166144e-06,0.9973827721344388,96011
Sexual Orientation,Homosexual,-0.052631578947368675,0.9973827721344388,33
Sexual Orientation,Prefer not to say,-0.36986301369863017,,3
Technology Impact,2) Somewhat negative,-0.002578057863076687,0.9995650987136044,490
Technology Impact,3) Neutral,-0.0003048548128949797,0.9995650987136044,1225
Technology Impact,4) Somewhat positive,-0.0007378206854414208,0.9995650987136044,40502
Technology Impact,5) Very positive,0.0030278606748423437,0.9995650987136044,8972
Toxicity Problem,1) Never,0.0807616546290216,0.9822884850557603,157
Toxicity Problem,2) Rarely,0.0011276030450120943,0.9822884850557603,3011
Toxicity Problem,3) Occasionally,0.0011796513800455485,0.9822884850557603,18059
Toxicity Problem,4) Frequently,0.00012313135602857255,0.9822884850557603,11548
Toxicity Problem,5) Very Frequently,-0.014612359823292162,0.9822884850557603,1002
