SDB Feature,,apunim,pvalue,support
Age,1) 18 - 24,-0.011832413957885337,0.4822410361850724,1431
Age,2) 25 - 34,0.027942243230965988,0.11851517981298038,4888
Age,3) 35 - 44,-0.021888633568413,0.17329276433738633,3102
Age,4) 45 - 54,0.008766046170837994,0.5393926347284341,1668
Age,5) 55 - 64,-0.0056998610281233635,0.6591825896500741,938
Age,6) 65 or older,-0.004854917014790569,0.6747071451289273,409
Age,Prefer not to say,0.0,,37
Age,Under 18,0.0,,2
Education,1) No high school,-0.011139674378748929,0.5277613034078769,60
Education,2) High School graduate,-0.013294785919335467,0.3460672726408429,1123
Education,"3) College, no degree",-0.0340020085801597,0.01885424066508248,2508
Education,4) Associate degree,-0.008225878168074682,0.5963499689469205,1362
Education,5) Bachelor's degree,0.024862874775551623,0.10911028645843081,5007
Education,6) Master's degree,0.021894046487914577,0.10911028645843081,1982
Education,7) Professional degree,-0.0033986081890273515,0.745905311185978,192
Education,8) Doctoral degree,0.001130795326045988,0.8650598050164297,164
Education,Other,0.0,,28
Education,Prefer not to say,0.0,,63
Education,,0.0,,1
Ethnicity,Asian,-0.001861427094105473,0.9331796168565744,720
Ethnicity,Black,0.014266332278090732,0.7070174193018923,1671
Ethnicity,Hispanic,-0.007461511821931178,0.9092153212824984,352
Ethnicity,Multiracial,-0.002607433914096511,0.9331796168565744,540
Ethnicity,Other,-0.0007296987386636141,0.9331796168565744,204
Ethnicity,Unknown,-0.006261180679785331,0.9092153212824984,189
Ethnicity,White,-0.0290619524147894,0.04164816807714932,6619
Gender,Female,-0.02451866423025575,0.0720173344534437,6141
Gender,Male,0.026068571286618946,0.0720173344534437,5479
Gender,Nonbinary,-0.001449466332850182,0.9435660514652193,81
Gender,Unknown,-0.0007927070947284975,0.9435660514652193,104
Has Been Targeted,False,-0.04815519418711537,1.0425456393565145e-05,6632
Has Been Targeted,True,0.014586359699128564,0.23101616201193131,3643
Is Parent,No,-0.06855593217431014,2.3867105611097285e-08,5514
Is Parent,Prefer not to say,0.0017325303192805884,0.8913407873126478,130
Is Parent,Yes,0.049029938455659616,2.8453974551435065e-05,6216
Is Transgender,No,-0.07881144877627554,7.470968584063112e-05,1697
Is Transgender,Prefer not to say,-0.0007322431047107658,0.9483040090719558,128
Is Transgender,Yes,-0.007307920205411812,0.7710622266890795,340
Political Affiliation,Conservative,0.02692261257998305,0.05337409179009025,3386
Political Affiliation,Independent,-0.02008667759852946,0.13705276506194508,3432
Political Affiliation,Liberal,-0.02777892696774029,0.05337409179009025,4945
Political Affiliation,Other,-0.013217695867906427,0.2946820311010863,271
Political Affiliation,Prefer not to say,0.0034009212622153353,0.652342011664643,511
Religion Important,1) No,-0.06198886145166961,2.9620428841540905e-07,3864
Religion Important,2) Not very,-0.018312834792574777,0.10387993329912035,1493
Religion Important,3) Somewhat,0.005577192868239561,0.6169065220280858,3012
Religion Important,4) Very,0.05161272497874167,4.577176470262825e-05,4062
Religion Important,Prefer not to say,0.006552525893045868,0.2967892794624032,194
Seen Toxicity,False,0.034979874362126774,0.002935947145799717,3050
Seen Toxicity,True,-0.07663446315662095,4.822100198212112e-13,6360
Sexual Orientation,Bisexual,0.008661752484679762,0.7883965772436397,1481
Sexual Orientation,Heterosexual,-0.0500066984893284,3.218452014185694e-05,5721
Sexual Orientation,Homosexual,-0.0048010074245087445,0.7883965772436397,430
Sexual Orientation,Other,0.0008841732979664007,0.9055162049322233,115
Sexual Orientation,Prefer not to say,-0.006127856906260356,0.7883965772436397,265
Sexual Orientation,,0.0,,28
Technology Impact,1) Very negative,0.0,,118
Technology Impact,2) Somewhat negative,-0.008476418169963034,0.4097456964709012,1179
Technology Impact,3) Neutral,0.008477436776237223,0.4097456964709012,1603
Technology Impact,4) Somewhat positive,-0.02851964637337767,0.06911681676535675,6040
Technology Impact,5) Very positive,0.010466692229135897,0.4097456964709012,3315
Toxicity Problem,1) Never,-0.0027144361764982953,0.8070988274065396,741
Toxicity Problem,2) Rarely,0.010837974429825228,0.3965442229335596,2087
Toxicity Problem,3) Occasionally,-0.014304554624869424,0.38087194719387346,4347
Toxicity Problem,4) Frequently,-0.02929679230329312,0.05067540746129794,3740
Toxicity Problem,5) Very Frequently,-0.020247769828473268,0.1403889220379663,1625
