SDB Feature,,apunim,pvalue,support
Age,1) 18 - 24,-0.049397577375764515,0.8176882148786074,223
Age,2) 25 - 34,0.03645658159904942,0.8176882148786074,1188
Age,3) 35 - 44,0.006907108440080227,0.8176882148786074,762
Age,4) 45 - 54,0.01550664852844188,0.8176882148786074,291
Age,5) 55 - 64,-0.06504341276306584,0.8176882148786074,130
Age,6) 65 or older,-0.17518677075463768,0.8176882148786074,17
Education,1) Doctoral degree,0.04255319148936159,0.7441842434131826,8
Education,2) Professional degree,-0.22783083219645298,0.9050541884306121,7
Education,3) Master's degree,0.11588964916602917,0.020954575807929334,459
Education,4) Bachelor's degree,0.012587263946213385,0.7441842434131826,1193
Education,5) Associate degree,-0.12700625367983312,0.18797485677433942,176
Education,"6) College, no degree",-0.22583097441889272,7.9479880305888e-06,540
Education,7) High School graduate,-0.0739269135596878,0.7441842434131826,122
Ethnicity,Asian,0.07291324106612722,0.7076233707970824,75
Ethnicity,Black,0.2071796067805912,0.0002662645099559388,356
Ethnicity,Hispanic,0.025463690663313384,0.8458220236489893,25
Ethnicity,Multiracial,-0.10996033848772412,0.7958975532340478,44
Ethnicity,Other,0.19919919919919926,0.6243512175157979,17
Ethnicity,Unknown,-0.024590163934426253,0.8885749591047971,7
Ethnicity,White,-0.04357834308498402,0.6243512175157979,1253
Gender,Female,-0.03696962718885201,0.07170819065352753,2070
Gender,Male,0.04222817342713239,0.06482429643562317,1974
Has Been Targeted,False,-0.0017318501569601194,0.9527067694948028,2199
Has Been Targeted,True,0.03291076708345649,0.3678681043963489,1176
Is Parent,No,-0.0590582075793871,0.009082633154420046,1868
Is Parent,Prefer not to say,-0.18577075098814233,,4
Is Parent,Yes,0.02050082650676334,0.2872709089471126,2156
Is Transgender,No,-0.014267673572421096,0.8616845226929375,561
Is Transgender,Prefer not to say,0.36974789915966394,0.8171957989603231,7
Is Transgender,Yes,0.5322184539819904,0.040670049368050944,31
Political Affiliation,Conservative,0.05522011122439981,0.13578826686542894,1021
Political Affiliation,Independent,-0.06102642389225837,0.13578826686542894,895
Political Affiliation,Liberal,-0.04186680672668055,0.18590602107984686,1449
Political Affiliation,Other,-0.11265646731571638,0.8580192673112315,21
Political Affiliation,Prefer not to say,-0.014770177617728183,0.9933868464586029,54
Religion Important,1) No,-0.10692342846358832,0.0007027912786637016,1069
Religion Important,2) Not very,-0.07058480127726569,0.44151283039208344,241
Religion Important,3) Somewhat,0.020644536065748554,0.5286674541799872,837
Religion Important,4) Very,0.05946970295549627,0.0620490050827647,1199
Religion Important,Prefer not to say,-0.21442125237191642,0.5286674541799872,13
Seen Toxicity,False,0.05939461779787905,0.07365663570813397,849
Seen Toxicity,True,-0.0387295670860515,0.12703361700909874,2051
Sexual Orientation,Bisexual,0.16393643472478311,0.019084985866510307,283
Sexual Orientation,Heterosexual,-0.03533618715963318,0.629538456935637,1170
Sexual Orientation,Homosexual,-0.010310992848827652,0.9154979770152629,32
Sexual Orientation,Prefer not to say,-0.2790640027762628,0.629538456935637,23
Technology Impact,1) Very negative,0.21568627450980388,,4
Technology Impact,2) Somewhat negative,-0.1614256461329527,0.10133788057663011,176
Technology Impact,3) Neutral,0.07052246280605565,0.3348595655629216,320
Technology Impact,4) Somewhat positive,-0.028290768787931905,0.3348595655629216,1606
Technology Impact,5) Very positive,0.02631450795605266,0.3348595655629216,1000
Toxicity Problem,1) Never,0.29748817660232957,0.028355459402746624,92
Toxicity Problem,2) Rarely,0.002387928272195445,0.9213839352578581,498
Toxicity Problem,3) Occasionally,-0.010459000754787283,0.9213839352578581,1096
Toxicity Problem,4) Frequently,-0.018117955493843332,0.9213839352578581,958
Toxicity Problem,5) Very Frequently,-0.09249083129111643,0.27279522325825567,252
