SDB Feature,,apunim,pvalue,support
Age,1) Gen. X+,-0.004671858489556729,0.2092200293266795,8690
Age,2) Millennial,-0.01493199268898367,0.001947417403223788,31470
Age,3) Gen. Z,0.03254342962628901,1.3887148946669546e-12,40951
Age,Prefer not to say,0.0,,189
Education,Neutral,0.014974062328898514,0.0006296581551147786,13919
Education,No,3.4866287786342027e-05,0.9886964801193363,2340
Education,Yes,-0.0376450308786167,8.160102146748908e-20,39926
Religion Important,Neutral,0.02262507073788466,2.3069023665090617e-07,21348
Religion Important,No,-0.11114491600658867,1.0790981798860883e-130,35028
Religion Important,Yes,0.0485189727515674,6.508468000272656e-25,27284
Technology Impact,Neutral,0.0025530341058018157,0.5140887568291559,10720
Technology Impact,No,-0.008598287154965911,0.03727950007799457,8757
Technology Impact,Yes,0.011381329541961213,0.010748855211055694,42443
Toxicity Problem,Neutral,-0.0059509030745726055,0.19326230829916113,29476
Toxicity Problem,No,0.025479911814933764,2.9357044858965752e-08,19334
Toxicity Problem,Yes,-0.03991701920374674,1.1789756613238771e-17,34645
