SDB Feature,,apunim,pvalue,support
Age,1) Gen. Z,-0.003919007184846363,0.9653625480046013,55
Age,2) Millennial,0.006000705965407786,0.9653625480046013,80
Age,3) Gen. X+,-0.034660991182730375,0.9653625480046013,61
Education,College +,-0.0031687351465539246,0.9934625690676815,74
Education,High school -,0.01762054364157908,0.9451065893200411,69
Education,Other,-0.022004889975550102,0.9451065893200411,82
Gender,Man,-0.04887398179204585,0.46919148095673496,200
Gender,Woman,0.013960980848398152,0.5435489152331088,215
Race,African Am.,0.0,0.9531631078979924,16
Race,Asian,0.0,0.9531631078979924,17
Race,Latino,2.220446049250313e-16,0.0,6
Race,Multiracial,-1.0248212535001443e-16,0.9531631078979924,13
Race,White,0.0,,9
