SDB Feature,,apunim,pvalue,support
Age,1) Gen. Z,-0.010409973011181068,0.9332317022325005,77
Age,2) Millennial,-0.023614895549500456,0.9332317022325005,72
Age,3) Gen. X+,-0.013848090642047886,0.9332317022325005,51
Education,College +,0.006289308176100459,0.8733591083100146,101
Education,High school -,-0.06234161175874299,0.8733591083100146,94
Education,Other,0.04790419161676658,0.8733591083100146,73
Gender,Man,-0.01786496190559593,0.9938925591105805,234
Gender,Woman,-0.001848428835489868,0.9938925591105805,246
Race,African Am.,0.0,1.0,18
Race,Asian,0.0,1.0,28
Race,Latino,-2.2204460492503136e-16,0.0,6
Race,Multiracial,0.0,1.0,15
Race,White,2.3058478203753253e-16,1.0,30
