SDB Feature,,apunim,pvalue,support
Age,1) Gen. Z,0.04740904079382571,0.5369740365621148,114
Age,2) Millennial,-0.040971168437025945,0.5369740365621148,170
Age,3) Gen. X+,-0.013687600644122385,0.8098820582630544,153
Education,College +,-0.011568742970381999,0.8295161839833378,371
Education,High school -,0.006897315863826444,0.8295161839833378,375
Gender,Man,0.0,0.9703688891265079,56
Gender,Nonbinary,2.148818757339013e-16,0.9703688891265079,71
Gender,Other,2.2029622220908618e-16,0.9703688891265079,68
Gender,Woman,0.0,0.9703688891265079,63
Race,African Am.,0.0,0.9368153004989168,44
Race,Asian,0.041990668740279805,0.9368153004989168,39
Race,Latino,-0.01812688821752278,0.9368153004989168,26
Race,Other,-0.015505783903519598,0.9368153004989168,40
Race,White,-0.04448105436573327,0.9368153004989168,33
