comment,inherent_polarization
5,0.0
18,0.0
19,0.0
21,0.0
25,0.0
29,0.0
30,0.0
32,0.0
39,0.0
46,0.0
48,0.0
49,0.0
57,0.0
59,0.0
61,0.0
62,0.0
64,0.0
65,0.0
66,0.0
71,0.0
74,0.0
75,0.0
77,0.0
79,0.0
80,0.0
87,0.0
88,0.0
90,0.0
91,0.0
92,0.0
98,0.0
99,0.0
104,0.0
106,0.0
110,0.0
112,0.0
115,0.0
116,0.0
120,0.0
124,0.0
130,0.0
132,0.0
136,0.0
139,0.0
140,0.0
143,0.0
144,0.0
145,0.0
157,0.0
158,0.0
162,0.0
164,0.0
166,0.0
168,0.0
174,0.0
177,0.0
178,0.0
184,0.0
188,0.0
196,0.0
198,0.0
201,0.0
209,0.0
221,0.0
226,0.0
230,0.0
235,0.0
236,0.0
238,0.0
243,0.0
246,0.0
247,0.0
251,0.0
253,0.0
260,0.0
262,0.0
264,0.0
265,0.0
267,0.0
270,0.0
275,0.0
276,0.0
280,0.0
281,0.0
283,0.0
285,0.0
286,0.0
287,0.0
288,0.0
300,0.0
301,0.0
303,0.0
304,0.0
310,0.0
311,0.0
319,0.0
324,0.0
326,0.0
328,0.0
332,0.0
334,0.0
337,0.0
339,0.0
340,0.0
347,0.0
349,0.0
353,0.0
355,0.0
356,0.0
357,0.0
362,0.0
364,0.0
366,0.0
368,0.0
369,0.0
370,0.0
376,0.0
383,0.0
390,0.0
392,0.0
399,0.0
400,0.0
401,0.0
403,0.0
406,0.0
407,0.0
408,0.0
409,0.0
415,0.0
426,0.0
427,0.0
428,0.0
430,0.0
433,0.0
434,0.0
435,0.0
442,0.0
446,0.0
451,0.0
453,0.0
455,0.0
458,0.0
460,0.0
461,0.0
464,0.0
465,0.0
470,0.0
472,0.0
473,0.0
477,0.0
486,0.0
488,0.0
498,0.0
500,0.0
502,0.0
505,0.0
512,0.0
513,0.0
515,0.0
517,0.0
520,0.0
525,0.0
530,0.0
531,0.0
532,0.0
535,0.0
536,0.0
537,0.0
542,0.0
543,0.0
544,0.0
554,0.0
555,0.0
556,0.0
558,0.0
559,0.0
560,0.0
563,0.0
564,0.0
565,0.0
567,0.0
576,0.0
583,0.0
587,0.0
590,0.0
595,0.0
597,0.0
598,0.0
602,0.0
605,0.0
606,0.0
608,0.0
614,0.0
621,0.0
623,0.0
624,0.0
625,0.0
626,0.0
629,0.0
633,0.0
638,0.0
641,0.0
642,0.0
643,0.0
644,0.0
646,0.0
649,0.0
653,0.0
655,0.0
658,0.0
659,0.0
660,0.0
661,0.0
665,0.0
666,0.0
684,0.0
685,0.0
689,0.0
692,0.0
696,0.0
700,0.0
703,0.0
704,0.0
709,0.0
712,0.0
713,0.0
714,0.0
719,0.0
724,0.0
729,0.0
731,0.0
738,0.0
741,0.0
753,0.0
754,0.0
757,0.0
761,0.0
773,0.0
782,0.0
789,0.0
792,0.0
801,0.0
810,0.0
815,0.0
816,0.0
817,0.0
821,0.0
828,0.0
829,0.0
834,0.0
838,0.0
840,0.0
847,0.0
849,0.0
853,0.0
855,0.0
856,0.0
864,0.0
866,0.0
868,0.0
870,0.0
872,0.0
880,0.0
882,0.0
883,0.0
885,0.0
886,0.0
891,0.0
893,0.0
896,0.0
898,0.0
904,0.0
905,0.0
908,0.0
915,0.0
918,0.0
923,0.0
924,0.0
925,0.0
930,0.0
937,0.0
944,0.0
945,0.0
949,0.0
951,0.0
955,0.0
958,0.0
962,0.0
963,0.0
965,0.0
975,0.0
977,0.0
978,0.0
979,0.0
982,0.0
983,0.0
984,0.0
985,0.0
987,0.0
989,0.0
