SDB Feature,,apunim,pvalue,support
Age,1) 18 - 24,0.0,0.9755187392801703,69
Age,2) 25 - 34,0.0,0.9755187392801703,82
Age,3) 35 - 44,0.0,0.9755187392801703,71
Age,4) 45 - 54,0.02739726027397288,0.9755187392801703,60
Age,5) 55 - 64,0.0,0.9755187392801703,64
Age,6) 65 or older,-0.024328433857070467,0.9755187392801703,99
Age,Prefer not to say,-0.011299435028248284,0.9755187392801703,93
Age,Under 18,0.0,0.9755187392801703,55
Education,1) No high school,3.1720657846433045e-16,0.9139666767481164,30
Education,2) High School graduate,0.0,0.9139666767481164,24
Education,"3) College, no degree",0.0,0.9139666767481164,18
Education,4) Associate degree,0.0,0.9139666767481164,62
Education,5) Bachelor's degree,0.0,0.9139666767481164,42
Education,6) Master's degree,2.467162276944792e-16,0.9139666767481164,30
Education,7) Professional degree,0.0,0.9139666767481164,30
Education,8) Doctoral degree,0.0,0.9139666767481164,36
Education,Other,0.0,0.9139666767481164,50
Education,Prefer not to say,0.0,0.9139666767481164,50
Ethnicity,Asian,-0.017595307917888187,0.9744138630516146,100
Ethnicity,Black,0.0,0.9744138630516146,106
Ethnicity,Hispanic,2.9341608507950565e-16,0.9744138630516146,113
Ethnicity,Multiracial,0.0,0.9744138630516146,112
Ethnicity,Other,0.0,0.9744138630516146,109
Ethnicity,Unknown,-0.01932084309133481,0.9744138630516146,96
Ethnicity,White,0.0,0.9744138630516146,97
Gender,Female,0.010227379351327847,0.8103595780694477,479
Gender,Male,-0.026987332476592456,0.8103595780694477,429
Gender,Nonbinary,-0.019331666607979157,0.8103595780694477,413
Gender,Unknown,0.009583509131456818,0.8103595780694477,487
Has Been Targeted,False,-0.01390508657037787,0.7630838880835715,2256
Has Been Targeted,True,0.005253145779158521,0.7630838880835715,2307
Is Parent,No,-0.011043863480377109,0.9483365247988919,919
Is Parent,Prefer not to say,-0.003836197486198896,0.9483365247988919,973
Is Parent,Yes,0.009265903347580387,0.9483365247988919,924
Is Transgender,No,0.0038354714984790983,0.8843913776627885,956
Is Transgender,Prefer not to say,-0.019986913330557445,0.8843913776627885,964
Is Transgender,Yes,0.020028079424658445,0.8843913776627885,976
Political Affiliation,Conservative,0.050000000000000114,0.9131274088807743,280
Political Affiliation,Independent,0.01973181053383013,0.9131274088807743,284
Political Affiliation,Liberal,0.003002183406113739,0.9131274088807743,277
Political Affiliation,Other,-0.012192368480469612,0.9131274088807743,240
Political Affiliation,Prefer not to say,-0.030402629416598232,0.9131274088807743,248
Religion Important,1) No,0.0034674792476617903,0.9060829212018291,280
Religion Important,2) Not very,0.04511853173591651,0.9060829212018291,268
Religion Important,3) Somewhat,-0.029553184003752536,0.9060829212018291,210
Religion Important,4) Very,-0.017788439777305067,0.9060829212018291,289
Religion Important,Prefer not to say,0.03692594124948291,0.9060829212018291,248
Seen Toxicity,False,-0.010885479661340592,0.7724403175030274,2188
Seen Toxicity,True,0.005501683163342473,0.7724403175030274,2237
Sexual Orientation,Bisexual,-0.03635149317813221,0.9702418992236346,281
Sexual Orientation,Heterosexual,-0.0016045640934213414,0.9702418992236346,323
Sexual Orientation,Homosexual,0.029355699580632753,0.9702418992236346,222
Sexual Orientation,Other,0.004502944232767636,0.9702418992236346,242
Sexual Orientation,Prefer not to say,-0.007682458386683533,0.9702418992236346,286
Technology Impact,1) Very negative,-0.021196603357749647,0.9689704637486377,237
Technology Impact,2) Somewhat negative,0.007538059811794648,0.9689704637486377,301
Technology Impact,3) Neutral,-0.029477364518656932,0.9689704637486377,253
Technology Impact,4) Somewhat positive,0.024943784970977278,0.9689704637486377,251
Technology Impact,5) Very positive,-0.0077911700073250425,0.9689704637486377,199
Toxicity Problem,1) Never,0.018675721561969692,0.9619435268204721,292
Toxicity Problem,2) Rarely,-0.0015857168027251039,0.9619435268204721,274
Toxicity Problem,3) Occasionally,-0.0155940935645615,0.9619435268204721,292
Toxicity Problem,4) Frequently,-0.002041279201633024,0.9619435268204721,267
Toxicity Problem,5) Very Frequently,-0.01809510450273555,0.9619435268204721,290
