SDB Feature,,apunim,pvalue,support
Age,1) 18 - 24,0.0,0.9669629736927599,31
Age,2) 25 - 34,2.599546594244269e-16,0.9669629736927599,52
Age,3) 35 - 44,0.0,0.9669629736927599,25
Age,4) 45 - 54,-0.00530503978779844,0.9669629736927599,54
Age,5) 55 - 64,0.0,0.9669629736927599,49
Age,6) 65 or older,-0.029126213592232903,0.9669629736927599,36
Age,Prefer not to say,-0.015668943350742964,0.9669629736927599,58
Age,Under 18,0.0,0.9669629736927599,42
Education,1) No high school,2.220446049250314e-16,0.9435276693230452,16
Education,2) High School graduate,0.0,0.9435276693230452,24
Education,"3) College, no degree",0.0,,9
Education,4) Associate degree,2.498001805406602e-16,0.9435276693230452,39
Education,5) Bachelor's degree,2.5376526277146444e-16,0.9435276693230452,24
Education,6) Master's degree,,,3
Education,7) Professional degree,0.0,0.9435276693230452,24
Education,8) Doctoral degree,0.0,0.9435276693230452,33
Education,Other,1.0248212535001443e-16,0.9435276693230452,13
Education,Prefer not to say,0.0,0.9435276693230452,28
Ethnicity,Asian,1.0860877414811315e-16,0.9829628527455898,46
Ethnicity,Black,2.4671622769447924e-16,0.9829628527455898,63
Ethnicity,Hispanic,0.0,0.9829628527455898,70
Ethnicity,Multiracial,2.481674996220938e-16,0.9829628527455898,62
Ethnicity,Other,0.0,0.9829628527455898,40
Ethnicity,Unknown,2.422304781000342e-16,0.9829628527455898,66
Ethnicity,White,0.0,0.9829628527455898,55
Gender,Female,0.036495243870087464,0.9911353527812938,291
Gender,Male,0.016713091922005586,0.9911353527812938,250
Gender,Nonbinary,-0.0026075619295958183,0.9911353527812938,271
Gender,Unknown,-0.011574499356972218,0.9911353527812938,326
Has Been Targeted,False,0.003541118814248124,0.8218709049044757,1465
Has Been Targeted,True,-0.020557192839825125,0.5131428741399512,1529
Is Parent,No,-0.016088431651526316,0.7983866013773178,542
Is Parent,Prefer not to say,0.007900270920561862,0.7983866013773178,643
Is Parent,Yes,0.02301150575287667,0.7983866013773178,592
Is Transgender,No,0.014440976270166495,0.8866889210506259,597
Is Transgender,Prefer not to say,-0.005137270065735106,0.8866889210506259,604
Is Transgender,Yes,0.008521091620926517,0.8866889210506259,575
Political Affiliation,Conservative,-0.0030211480362537656,0.9895045740113935,175
Political Affiliation,Independent,0.009057683139996681,0.9895045740113935,164
Political Affiliation,Liberal,0.0,0.9895045740113935,170
Political Affiliation,Other,-0.010146003464489066,0.9895045740113935,144
Political Affiliation,Prefer not to say,-0.006337532274469688,0.9895045740113935,144
Religion Important,1) No,-0.018432489135321414,0.9594994489962825,161
Religion Important,2) Not very,-0.020993850286279557,0.9594994489962825,166
Religion Important,3) Somewhat,0.016691957511381004,0.9594994489962825,125
Religion Important,4) Very,0.010800332317917279,0.9594994489962825,177
Religion Important,Prefer not to say,-0.002654226654869635,0.9594994489962825,167
Seen Toxicity,False,-0.011697799149250862,0.5879299541998625,1497
Seen Toxicity,True,-0.011368940718529591,0.5879299541998625,1434
Sexual Orientation,Bisexual,-0.026179334766662222,0.9486843236738912,170
Sexual Orientation,Heterosexual,-0.02311174648558489,0.9486843236738912,143
Sexual Orientation,Homosexual,0.03906352755491269,0.9486843236738912,159
Sexual Orientation,Other,-0.0022675736961451517,0.9801870634041435,156
Sexual Orientation,Prefer not to say,-0.019498916726848364,0.9486843236738912,190
Technology Impact,1) Very negative,0.0,0.9395908220452074,148
Technology Impact,2) Somewhat negative,0.010267210741082285,0.9395908220452074,173
Technology Impact,3) Neutral,-0.028355387523629497,0.9395908220452074,153
Technology Impact,4) Somewhat positive,0.006622516556291285,0.9395908220452074,150
Technology Impact,5) Very positive,0.02512272596015034,0.9395908220452074,133
Toxicity Problem,1) Never,-0.009556907037359168,0.9577428949888966,193
Toxicity Problem,2) Rarely,-0.013394786115512085,0.9577428949888966,178
Toxicity Problem,3) Occasionally,0.008331129330864726,0.9577428949888966,174
Toxicity Problem,4) Frequently,-0.0011890606420930116,0.9577428949888966,165
Toxicity Problem,5) Very Frequently,-0.006004002668445547,0.9577428949888966,174
