SDB Feature,,apunim,pvalue,support
Age,1) 18 - 24,0.0,0.8649667720135806,37
Age,2) 25 - 34,0.0,0.8649667720135806,15
Age,3) 35 - 44,-3.4160708450004784e-16,0.8649667720135806,33
Age,4) 45 - 54,2.8047739569477623e-16,0.8649667720135806,25
Age,5) 55 - 64,3.700743415417188e-16,0.8649667720135806,15
Age,6) 65 or older,2.6645352591003766e-16,0.8649667720135806,19
Age,Prefer not to say,0.0,0.8649667720135806,15
Age,Under 18,3.996802888650565e-16,0.8649667720135806,19
Education,1) No high school,0.0,0.9333295563808524,9
Education,2) High School graduate,-0.18918918918918856,0.9333295563808524,21
Education,"3) College, no degree",2.220446049250314e-16,0.9333295563808524,12
Education,4) Associate degree,0.0,0.9333295563808524,6
Education,5) Bachelor's degree,0.28205128205128094,0.9333295563808524,6
Education,6) Master's degree,2.96059473233375e-16,0.9333295563808524,12
Education,7) Professional degree,1.9032394707859828e-16,0.9333295563808524,7
Education,8) Doctoral degree,0.0,0.9333295563808524,9
Education,Other,7.401486830834373e-16,0.9333295563808524,15
Education,Prefer not to say,9.992007221626413e-17,0.9333295563808524,11
Ethnicity,Asian,2.4671622769447934e-16,0.9139666767481154,30
Ethnicity,Black,2.6645352591003766e-16,0.9139666767481154,18
Ethnicity,Hispanic,0.0027347310847769695,0.9139666767481154,31
Ethnicity,Multiracial,0.0,0.9139666767481154,30
Ethnicity,Other,0.0,0.9139666767481154,27
Ethnicity,Unknown,0.0,0.9139666767481154,27
Ethnicity,White,-0.0022172949002218782,0.9139666767481154,37
Gender,Female,-0.0034495975469527626,0.9608080012430666,137
Gender,Male,0.008264462809917349,0.9608080012430666,101
Gender,Nonbinary,0.003995492265137147,0.9608080012430666,146
Gender,Unknown,-0.037030552394292066,0.9608080012430666,150
Has Been Targeted,False,-0.009341409315816316,0.7955029113323581,576
Has Been Targeted,True,0.02223326294870233,0.7955029113323581,622
Is Parent,No,-0.09252183406113525,0.7975163120930098,196
Is Parent,Prefer not to say,0.01475440453215457,0.7975163120930098,245
Is Parent,Yes,0.014485685021704168,0.7975163120930098,281
Is Transgender,No,-0.027259044539829434,0.9936208695162263,245
Is Transgender,Prefer not to say,0.040941932031041135,0.9936208695162263,257
Is Transgender,Yes,-0.004057543341939993,0.9936208695162263,238
Political Affiliation,Conservative,0.0190217391304344,0.8881042879098493,68
Political Affiliation,Independent,2.943381972262042e-16,0.8881042879098493,63
Political Affiliation,Liberal,0.0,0.8881042879098493,68
Political Affiliation,Other,0.04953820319059608,0.8881042879098493,53
Political Affiliation,Prefer not to say,-0.14468995010691355,0.8881042879098493,58
Religion Important,1) No,0.0,0.9130673283479573,100
Religion Important,2) Not very,-0.02840059790732449,0.9130673283479573,54
Religion Important,3) Somewhat,3.420687156953185e-16,0.9130673283479573,62
Religion Important,4) Very,0.0,0.9130673283479573,77
Religion Important,Prefer not to say,0.03658536585365839,0.9130673283479573,93
Seen Toxicity,False,-0.07908677316824876,0.01618712782311752,612
Seen Toxicity,True,0.10857674851623404,0.014991686858467732,593
Sexual Orientation,Bisexual,0.0,0.9178130956137478,71
Sexual Orientation,Heterosexual,-0.0010702818408845414,0.9178130956137478,79
Sexual Orientation,Homosexual,-0.06567004805125458,0.9178130956137478,60
Sexual Orientation,Other,0.021209740769834996,0.9178130956137478,60
Sexual Orientation,Prefer not to say,0.0010355540214013355,0.9178130956137478,77
Technology Impact,1) Very negative,0.0182584269662919,0.9964007094414189,59
Technology Impact,2) Somewhat negative,-0.013761467889908207,0.9964007094414189,52
Technology Impact,3) Neutral,0.0017853600476098804,0.9964007094414189,78
Technology Impact,4) Somewhat positive,0.03645461043602584,0.9964007094414189,67
Technology Impact,5) Very positive,-0.03628117913832168,0.9964007094414189,71
Toxicity Problem,1) Never,-0.032162001191185216,0.909049318394491,83
Toxicity Problem,2) Rarely,0.0,0.909049318394491,74
Toxicity Problem,3) Occasionally,0.0,0.909049318394491,104
Toxicity Problem,4) Frequently,-0.012123933542882891,0.909049318394491,39
Toxicity Problem,5) Very Frequently,-0.018682770334025173,0.909049318394491,61
