SDB Feature,,apunim,pvalue,support
Age,1) 18 - 24,0.0,0.9900722714600663,31
Age,2) 25 - 34,0.0,0.9900722714600663,21
Age,3) 35 - 44,0.0,0.9900722714600663,15
Age,4) 45 - 54,-0.0072202166064981215,0.9900722714600663,36
Age,5) 55 - 64,0.0,0.9900722714600663,15
Age,6) 65 or older,0.03092783505154648,0.9900722714600663,40
Age,Prefer not to say,-0.03264812575574364,0.9900722714600663,40
Age,Under 18,1.0248212535001446e-16,0.9900722714600663,26
Education,1) No high school,0.0,,15
Education,2) High School graduate,0.0,0.9604183564993375,16
Education,"3) College, no degree",0.0,,6
Education,4) Associate degree,2.0075265650756257e-16,0.9604183564993375,37
Education,5) Bachelor's degree,5.828670879282074e-16,0.9604183564993375,23
Education,6) Master's degree,0.0,,15
Education,7) Professional degree,0.0,,12
Education,8) Doctoral degree,0.0,0.9604183564993375,15
Education,Other,0.0,,18
Education,Prefer not to say,0.0,,21
Ethnicity,Asian,0.0,0.9484196106391378,38
Ethnicity,Black,2.311076500240122e-16,0.9484196106391378,54
Ethnicity,Hispanic,0.0,0.9484196106391378,51
Ethnicity,Multiracial,1.1102230246251565e-16,0.9484196106391378,43
Ethnicity,Other,0.0,0.9484196106391378,40
Ethnicity,Unknown,2.297013154396876e-16,0.9484196106391378,33
Ethnicity,White,0.0,0.9484196106391378,33
Gender,Female,0.03448275862068978,0.8179497997007067,195
Gender,Male,-0.005018169233431114,0.9610863735897988,207
Gender,Nonbinary,0.019664967225054692,0.8179497997007067,184
Gender,Unknown,-0.04429749071473846,0.8179497997007067,235
Has Been Targeted,False,0.007564959982458113,0.7528784117343528,1067
Has Been Targeted,True,-0.02240180032733194,0.7528784117343528,1140
Is Parent,No,-0.012546468401487034,0.7681374811081558,397
Is Parent,Prefer not to say,0.012630662020905934,0.7681374811081558,491
Is Parent,Yes,0.01829875200980017,0.7681374811081558,427
Is Transgender,No,-0.01889443705618137,0.6234032967730742,458
Is Transgender,Prefer not to say,0.038971431619941946,0.46202069682697433,397
Is Transgender,Yes,-0.03912815780942172,0.46202069682697433,475
Political Affiliation,Conservative,-0.025235032162295917,0.9693724628759651,133
Political Affiliation,Independent,-0.016145307769929455,0.9693724628759651,125
Political Affiliation,Liberal,-0.0042523033309709276,0.9693724628759651,153
Political Affiliation,Other,0.030629936428434118,0.9693724628759651,108
Political Affiliation,Prefer not to say,0.014593467685893173,0.9693724628759651,88
Religion Important,1) No,-0.07802795031055908,0.8864830833939292,114
Religion Important,2) Not very,0.011548857400278487,0.8864830833939292,137
Religion Important,3) Somewhat,-0.02597402597402593,0.8864830833939292,93
Religion Important,4) Very,-0.005305039787798486,0.8864830833939292,138
Religion Important,Prefer not to say,0.013024602026049182,0.8864830833939292,119
Seen Toxicity,False,-0.004786989879560333,0.866344878268188,1073
Seen Toxicity,True,0.012731725856171593,0.866344878268188,1105
Sexual Orientation,Bisexual,-0.01828029790115077,0.9902342697627828,132
Sexual Orientation,Heterosexual,-0.00447984071677427,0.9902342697627828,145
Sexual Orientation,Homosexual,0.008786202408070405,0.9902342697627828,102
Sexual Orientation,Other,-0.02547682027008203,0.9902342697627828,85
Sexual Orientation,Prefer not to say,0.02400826090697874,0.9902342697627828,127
Technology Impact,1) Very negative,0.0,0.9780878306062044,99
Technology Impact,2) Somewhat negative,0.0,0.9780878306062044,153
Technology Impact,3) Neutral,1.0517902338554116e-16,0.9780878306062044,100
Technology Impact,4) Somewhat positive,0.0048622366288492746,0.9780878306062044,136
Technology Impact,5) Very positive,0.011952191235059832,0.9780878306062044,72
Toxicity Problem,1) Never,-0.015233112786582716,0.9822432504318677,142
Toxicity Problem,2) Rarely,-0.0026893769610041337,0.9822432504318677,102
Toxicity Problem,3) Occasionally,0.011866433630761002,0.9822432504318677,131
Toxicity Problem,4) Frequently,-0.015712479682138143,0.9822432504318677,121
Toxicity Problem,5) Very Frequently,-0.009900990099009676,0.9822432504318677,118
