SDB Feature,,apunim,pvalue,support
Age,1) Gen. X+,-0.03601309567115308,0.7888907362207296,94
Age,2) Millennial,0.0656682027649769,0.7813909248876716,102
Age,3) Gen. Z,0.01789419087136945,0.7888907362207296,88
Ethnicity,black,0.05263157894736848,0.8674803734992507,21
Ethnicity,hisp,0.0,,3
Ethnicity,middleEastern,0.0,0.8674803734992507,22
Ethnicity,other,0.0,0.8674803734992507,19
Ethnicity,white,0.0373443983402489,0.8674803734992507,27
Gender,man,0.07296137339055783,0.8979416606476173,90
Gender,nonBinary,-0.017824663514005308,0.8979416606476173,100
Gender,woman,-0.022581732389618903,0.8979416606476173,102
