SDB Feature,,apunim,pvalue,support
Age,1) Gen. X+,0.017191977077363876,0.9458713955438538,219
Age,2) Millennial,-0.0004253509145045184,0.9458713955438538,200
Age,3) Gen. Z,0.013110846245530406,0.9458713955438538,253
Ethnicity,black,0.03092783505154602,0.8844608858732448,47
Ethnicity,hisp,3.7007434154171906e-16,0.8844608858732448,31
Ethnicity,middleEastern,0.0,0.8844608858732448,37
Ethnicity,other,0.0,0.8844608858732448,34
Ethnicity,white,0.016175860638738982,0.8844608858732448,65
Gender,man,0.0010355540214018646,0.9292093329883544,211
Gender,nonBinary,0.0817239621679788,0.36775260573183466,216
Gender,woman,-0.015601783060921547,0.9292093329883544,255
