SDB Feature,,apunim,pvalue,support
Age,1) Gen. X+,0.05951307484220031,0.7385910359547232,44
Age,2) Millennial,-0.04776771776459543,0.9611349798787641,35
Age,3) Gen. Z,-0.10979228486646887,0.9611349798787641,13
Ethnicity,black,0.0,,6
Ethnicity,middleEastern,0.0,,6
Ethnicity,other,0.0,,6
Ethnicity,white,2.422304781000342e-16,0.9332946839154863,14
Gender,man,-0.05751905751905764,0.8299783634448035,42
Gender,nonBinary,0.030927835051546507,0.8299783634448035,13
Gender,woman,-0.039030159668835045,0.8299783634448035,37
