SDB Feature,,apunim,pvalue,support
Age,1) Gen. Z,-0.004335956888456665,0.6483441309418918,14728
Age,2) Millennial,-0.00887773683238133,0.5117001900461617,9468
Age,3) Gen. X+,0.01480954564944536,0.3117933726648521,8153
Education,College +,0.010499089858391012,0.26334678265768907,19725
Education,High school -,-0.014549876144358029,0.17513680588138283,10783
Education,Other,-0.023040022951423697,0.012575204408132154,1841
Gender,Man,-0.01705963859371519,0.0727279820791453,16043
Gender,Woman,0.017601169404838104,0.0727279820791453,16306
Race,African Am.,-0.03655743185409611,0.00017657579078331047,7627
Race,Asian,0.04450508458623083,5.8073027852595975e-06,6838
Race,Latino,0.005924583970368918,0.49494095621432505,5786
Race,Multiracial,-0.006095397051453239,0.49494095621432505,4208
Race,White,-0.011306413593116954,0.3766230006441187,7890
