scenario,n_ann,minority,delta,rep,method,stat,pvalue,detected
polarization,80,0.5,0.0,0,apunim (fixed binning),0.10707648604638209,0.0004925036439592945,1
polarization,80,0.5,0.0,0,Krippendorff delta-alpha,0.0006289716952467272,0.32338308457711445,0
polarization,80,0.5,0.0,0,Krippendorff alpha (pooled),0.053628508758330695,nan,0
polarization,80,0.5,0.0,0,aposteriori unimodality (2024),0.0,1.0,0
polarization,80,0.5,0.0,1,apunim (fixed binning),-0.02006141057175037,0.29174740319217646,0
polarization,80,0.5,0.0,1,Krippendorff delta-alpha,-0.0009893708677494728,0.7512437810945274,0
polarization,80,0.5,0.0,1,Krippendorff alpha (pooled),0.04913248138998483,nan,0
polarization,80,0.5,0.0,1,aposteriori unimodality (2024),0.041666666666666664,0.43564356435643564,0
polarization,80,0.5,0.0,2,apunim (fixed binning),-0.029730861763618825,0.5325573353189048,0
polarization,80,0.5,0.0,2,Krippendorff delta-alpha,-6.850258290735933e-05,0.47761194029850745,0
polarization,80,0.5,0.0,2,Krippendorff alpha (pooled),0.05174986377794599,nan,0
polarization,80,0.5,0.0,2,aposteriori unimodality (2024),0.0,1.0,0
polarization,80,0.5,0.0,3,apunim (fixed binning),-0.08025892966981577,1.6121865870871354e-05,1
polarization,80,0.5,0.0,3,Krippendorff delta-alpha,0.0022967320752205755,0.04975124378109453,1
polarization,80,0.5,0.0,3,Krippendorff alpha (pooled),0.05125680577688041,nan,0
polarization,80,0.5,0.0,3,aposteriori unimodality (2024),0.05263157894736842,0.39603960396039606,0
polarization,80,0.5,0.0,4,apunim (fixed binning),0.04663300313750819,0.012572285712674512,1
polarization,80,0.5,0.0,4,Krippendorff delta-alpha,0.0009291553703797972,0.23880597014925373,0
polarization,80,0.5,0.0,4,Krippendorff alpha (pooled),0.05215569428978173,nan,0
polarization,80,0.5,0.0,4,aposteriori unimodality (2024),0.037037037037037035,0.42574257425742573,0
polarization,80,0.5,0.0,5,apunim (fixed binning),0.006738214375353204,1.0,0
polarization,80,0.5,0.0,5,Krippendorff delta-alpha,1.8750744490314553e-05,0.4129353233830846,0
polarization,80,0.5,0.0,5,Krippendorff alpha (pooled),0.043583616271888004,nan,0
polarization,80,0.5,0.0,5,aposteriori unimodality (2024),0.0,1.0,0
polarization,80,0.5,0.0,6,apunim (fixed binning),0.03993022462820555,0.001131293738408365,1
polarization,80,0.5,0.0,6,Krippendorff delta-alpha,-0.0003312402443972351,0.6766169154228856,0
polarization,80,0.5,0.0,6,Krippendorff alpha (pooled),0.0552215775802849,nan,0
polarization,80,0.5,0.0,6,aposteriori unimodality (2024),0.0,1.0,0
polarization,80,0.5,0.0,7,apunim (fixed binning),0.038231521924456495,0.08054832618733995,0
polarization,80,0.5,0.0,7,Krippendorff delta-alpha,-0.0017522497727060493,0.9402985074626866,0
polarization,80,0.5,0.0,7,Krippendorff alpha (pooled),0.04946302193919927,nan,0
polarization,80,0.5,0.0,7,aposteriori unimodality (2024),0.0,1.0,0
polarization,80,0.5,0.0,8,apunim (fixed binning),-0.03890990338183407,0.10686361633306035,0
polarization,80,0.5,0.0,8,Krippendorff delta-alpha,-0.0009746263396571142,0.8109452736318408,0
polarization,80,0.5,0.0,8,Krippendorff alpha (pooled),0.05040218512644834,nan,0
polarization,80,0.5,0.0,8,aposteriori unimodality (2024),0.05263157894736842,0.37623762376237624,0
polarization,80,0.5,0.0,9,apunim (fixed binning),-0.009527934559810339,0.9378262743837132,0
polarization,80,0.5,0.0,9,Krippendorff delta-alpha,0.0004070402217968283,0.3333333333333333,0
polarization,80,0.5,0.0,9,Krippendorff alpha (pooled),0.05161381163921286,nan,0
polarization,80,0.5,0.0,9,aposteriori unimodality (2024),0.0,1.0,0
polarization,80,0.5,0.0,10,apunim (fixed binning),-0.014391447321020021,0.8634737663992125,0
polarization,80,0.5,0.0,10,Krippendorff delta-alpha,-0.0002797773680890403,0.6119402985074627,0
polarization,80,0.5,0.0,10,Krippendorff alpha (pooled),0.04373430153171687,nan,0
polarization,80,0.5,0.0,10,aposteriori unimodality (2024),0.0,1.0,0
polarization,80,0.5,0.0,11,apunim (fixed binning),0.022399414738633893,0.18974268374505696,0
polarization,80,0.5,0.0,11,Krippendorff delta-alpha,-0.00036028592587661334,0.6119402985074627,0
polarization,80,0.5,0.0,11,Krippendorff alpha (pooled),0.047706957803845484,nan,0
polarization,80,0.5,0.0,11,aposteriori unimodality (2024),0.0,1.0,0
polarization,80,0.5,0.0,12,apunim (fixed binning),-0.0785647380892066,2.2367360862111158e-07,1
polarization,80,0.5,0.0,12,Krippendorff delta-alpha,-0.0017643489938533596,0.9353233830845771,0
polarization,80,0.5,0.0,12,Krippendorff alpha (pooled),0.0421838528968127,nan,0
polarization,80,0.5,0.0,12,aposteriori unimodality (2024),0.0,1.0,0
polarization,80,0.5,0.0,13,apunim (fixed binning),0.04175244829478571,0.29296570253572074,0
polarization,80,0.5,0.0,13,Krippendorff delta-alpha,0.0007502703965986957,0.21393034825870647,0
polarization,80,0.5,0.0,13,Krippendorff alpha (pooled),0.051254886358174656,nan,0
polarization,80,0.5,0.0,13,aposteriori unimodality (2024),0.06666666666666667,0.4158415841584158,0
polarization,80,0.5,0.0,14,apunim (fixed binning),-0.08283427454451736,3.8251195932402263e-10,1
polarization,80,0.5,0.0,14,Krippendorff delta-alpha,0.0008953251814955432,0.19900497512437812,0
polarization,80,0.5,0.0,14,Krippendorff alpha (pooled),0.05277401025027084,nan,0
polarization,80,0.5,0.0,14,aposteriori unimodality (2024),0.0,1.0,0
polarization,80,0.5,0.0,15,apunim (fixed binning),-0.05389654051326121,0.01672053032096994,1
polarization,80,0.5,0.0,15,Krippendorff delta-alpha,-0.0003839884630343904,0.6069651741293532,0
polarization,80,0.5,0.0,15,Krippendorff alpha (pooled),0.047847148950286855,nan,0
polarization,80,0.5,0.0,15,aposteriori unimodality (2024),0.0,1.0,0
polarization,80,0.5,0.0,16,apunim (fixed binning),-0.06391211584914944,5.479619811109282e-06,1
polarization,80,0.5,0.0,16,Krippendorff delta-alpha,0.0017667103045291843,0.1044776119402985,0
polarization,80,0.5,0.0,16,Krippendorff alpha (pooled),0.04628931410111403,nan,0
polarization,80,0.5,0.0,16,aposteriori unimodality (2024),0.0,1.0,0
polarization,80,0.5,0.0,17,apunim (fixed binning),0.00960876556345689,1.0,0
polarization,80,0.5,0.0,17,Krippendorff delta-alpha,-0.002060684207267016,0.9502487562189055,0
polarization,80,0.5,0.0,17,Krippendorff alpha (pooled),0.04964042953007952,nan,0
polarization,80,0.5,0.0,17,aposteriori unimodality (2024),0.03571428571428571,0.6039603960396039,0
polarization,80,0.5,0.0,18,apunim (fixed binning),-0.0659458688869587,0.0002519951362733238,1
polarization,80,0.5,0.0,18,Krippendorff delta-alpha,0.0013514160053840762,0.12437810945273632,0
polarization,80,0.5,0.0,18,Krippendorff alpha (pooled),0.04761255141062881,nan,0
polarization,80,0.5,0.0,18,aposteriori unimodality (2024),0.05,0.33663366336633666,0
polarization,80,0.5,0.0,19,apunim (fixed binning),0.08230975432145371,1.8557445823872166e-05,1
polarization,80,0.5,0.0,19,Krippendorff delta-alpha,-2.0152955656771443e-05,0.48756218905472637,0
