dataset,sample_size,mean,std
DICES-350,5,0.0,0.0
DICES-350,7,0.0,0.0
DICES-350,9,0.0,0.0
DICES-350,11,0.0,0.0
DICES-350,13,0.0,0.0
DICES-350,15,0.0,0.0
DICES-350,17,0.0,0.0
DICES-350,19,0.0,0.0
DICES-350,21,0.0,0.0
DICES-350,23,0.0,0.0
DICES-350,25,0.0,0.0
DICES-350,27,0.0,0.0
DICES-350,29,0.0,0.0
DICES-350,31,0.0,0.0
DICES-350,33,0.0,0.0
DICES-350,35,0.0,0.0
DICES-350,37,0.0,0.0
DICES-350,39,0.0,0.0
DICES-350,41,0.0,0.0
DICES-350,43,0.0,0.0
DICES-350,45,0.0,0.0
DICES-350,47,0.0,0.0
DICES-350,49,0.0,0.0
DICES-990,5,0.0,0.0
DICES-990,7,0.0,0.0
DICES-990,9,0.0,0.0
DICES-990,11,0.0,0.0
DICES-990,13,0.0,0.0
DICES-990,15,0.0,0.0
DICES-990,17,0.0,0.0
DICES-990,19,0.0,0.0
DICES-990,21,0.0,0.0
DICES-990,23,0.0,0.0
DICES-990,25,0.0,0.0
DICES-990,27,0.0,0.0
DICES-990,29,0.0,0.0
DICES-990,31,0.0,0.0
DICES-990,33,0.0,0.0
DICES-990,35,0.0,0.0
DICES-990,37,0.0,0.0
DICES-990,39,0.0,0.0
DICES-990,41,0.0,0.0
DICES-990,43,0.0,0.0
DICES-990,45,0.0,0.0
DICES-990,47,0.0,0.0
DICES-990,49,0.0,0.0
