SDB Feature,,apunim,pvalue,support
Age,1) 0-20,0.0,,2
Age,2) 20-40,0.0016951919900860452,0.913152596458694,1687
Age,3) 40-60,0.011467889908256933,0.913152596458694,698
Age,4) 60-80,0.004859986114325387,0.913152596458694,45
Ethnicity,black,-0.2967163345779389,1.1095229940107125e-25,1041
Ethnicity,hisp,0.0,,29
Ethnicity,middleEastern,0.0,,1
Ethnicity,other,0.0,,5
Ethnicity,white,0.1399830470727989,5.603627357076991e-17,2048
Gender,man,0.09424776355608164,2.841496519076898e-06,1635
Gender,nonBinary,0.0,,22
Gender,woman,-0.18102018481118357,3.469949468125566e-15,1333
