Dataset,Model,PC Dimension,F,p_raw,n_prompts_compared,n_total_obs,cohens_d_stereotype_vs_default,cohens_d_persona_vs_default,cohens_d_single_vs_default,cohens_d_direct_vs_default,p_corrected,reject_null
Kumar et al. 2021,llama70b,Age: 1) 18 - 24,2.659870013553225,0.03114685555394755,5,2753,0.036270812497893976,0.012805168208585137,0.15194565186623285,-0.02059852467982891,1.0,False
Kumar et al. 2021,llama70b,Age: 2) 25 - 34,3.225300523808507,0.011902146691324483,5,2697,0.080330598687476,0.03673976332238883,0.14263212873889286,-0.06556423654166145,0.7498352415534424,False
Kumar et al. 2021,llama70b,Age: 3) 35 - 44,8.073092835779427,1.812080866718865e-06,5,2745,0.033380532132990845,-0.024945462697597426,0.21435468018297263,-0.09963607655816618,0.0004004698715448692,True
Kumar et al. 2021,llama70b,Age: 4) 45 - 54,4.21168560144384,0.002112677138046885,5,2736,0.08153235123224917,0.030159284561830108,0.1855015104228413,-0.03793236125206096,0.19859165097640719,False
Kumar et al. 2021,llama70b,Age: 5) 55 - 64,2.8211780356665663,0.023735851224411925,5,2737,0.011372376399514278,-0.05621255710274878,0.1135590293414308,-0.062214144304103984,1.0,False
Kumar et al. 2021,llama70b,Age: 6) 65 or older,8.870149414982693,4.069837769004275e-07,5,2936,-0.0050470668313975595,-0.05714050208392153,0.19271723404232316,-0.11932608526066232,0.00010133896044820645,True
Kumar et al. 2021,llama70b,Age: Prefer not to say,5.173699544965122,0.0003760150961886379,5,2702,-0.014328094516867734,-0.055920725318743605,0.11982810489830192,-0.15160073164161125,0.05189008327403203,False
Kumar et al. 2021,llama70b,Age: Under 18,5.696390685126718,0.00014540805202373902,5,2731,0.06865954364756413,-0.03635030813141987,0.13679005180434642,-0.14251536158272007,0.022300731442589594,True
Kumar et al. 2021,llama70b,Education: 1) No high school,4.603936646385644,0.0010521258392585417,5,2447,0.0010984653638769937,0.08149408029202178,0.18078724874415147,-0.07051879210701398,0.11889021983621521,False
Kumar et al. 2021,llama70b,Education: 2) High School graduate,6.350643892167959,4.433081127398774e-05,5,2285,0.09683377559143905,-0.026634343789207003,0.19640602238436294,-0.10683823887332827,0.007624899539125891,True
Kumar et al. 2021,llama70b,"Education: 3) College, no degree",4.109377171607262,0.00254477013342658,5,2216,0.06710411784959472,-0.027593367361684374,0.09166319419320777,-0.1716646476074453,0.2315740821418188,False
Kumar et al. 2021,llama70b,Education: 4) Associate degree,5.791993219853024,0.0001230122880159109,5,2324,0.06445344247259877,0.029281757011337405,0.2250139526427295,-0.06257735691199788,0.019189916930482102,True
Kumar et al. 2021,llama70b,Education: 5) Bachelor's degree,3.981204863112762,0.0031874672447163373,5,2357,0.11003118951882848,-0.03466760379543161,0.09717174607439212,-0.11736110701977971,0.28579040091997654,False
Kumar et al. 2021,llama70b,Education: 6) Master's degree,3.0707271468463517,0.015546007449037126,5,2340,-0.0587089162993199,0.002386108551202946,0.0840716009451332,-0.14352867050424767,0.9016684320441533,False
Kumar et al. 2021,llama70b,Education: 7) Professional degree,5.520445555186073,0.0002014508016111968,5,2375,-0.008794670745535756,-0.019206398419734684,0.20623476240044364,-0.03763410457900826,0.029613267836845928,True
Kumar et al. 2021,llama70b,Education: 8) Doctoral degree,6.258119462274121,5.2479298902850825e-05,5,2319,0.04176200853946235,-0.05051364532785155,0.18115398851143116,-0.13153254695023786,0.008711563617873237,True
Kumar et al. 2021,llama70b,Education: Other,5.291970127914846,0.00030494158717725905,5,2371,-0.029486885399681504,-0.10163307759906677,0.12474981757102112,-0.13898405908608313,0.04293216091713751,True
Kumar et al. 2021,llama70b,Education: Prefer not to say,7.409240840294745,6.259548306689741e-06,5,2512,0.031301097397454465,-0.014061158988642165,0.2380250161312149,-0.04614432982515852,0.0012644287579513277,True
Kumar et al. 2021,llama70b,Ethnicity: Asian,5.5664049524352555,0.00018352245211255866,5,3059,0.0656504529912563,-0.0026703129064061474,0.18224230827484067,-0.06192414053498352,0.027161322912658683,True
Kumar et al. 2021,llama70b,Ethnicity: Black,3.7751290160909536,0.004565275403584151,5,2902,0.028538737267777052,-0.05139102467267293,0.13109851027020586,-0.07124125641689169,0.3652220322867321,False
Kumar et al. 2021,llama70b,Ethnicity: Hispanic,6.690799469128413,2.334078727613464e-05,5,3049,-0.03310910264328999,-0.011978963040999293,0.19298302189806424,-0.04137904408769562,0.004179117917864912,True
Kumar et al. 2021,llama70b,Ethnicity: Multiracial,4.651174181068652,0.0009616776209267699,5,3005,0.0614182403345986,0.05632025093922605,0.175635546225348,-0.06535389410179783,0.11059292640657854,False
Kumar et al. 2021,llama70b,Ethnicity: Other,6.247583048391533,5.275488877505879e-05,5,3082,0.043280135327937674,-0.03186032542947332,0.11813226348357857,-0.1704572462535516,0.008711563617873237,True
